,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10575,ME,2020-04-13,65.0,0.0,5.536598619601328,,,
6363,ME,2020-04-14,37.0,1.0,3.151602290398671,,,
6311,ME,2020-04-15,35.0,4.0,2.981245412253621,,,
16867,ME,2020-04-16,26.0,3.0,2.2146394481799803,,,
16919,ME,2020-04-17,31.0,2.0,2.640531649753072,,,
8235,ME,2020-04-18,20.0,3.0,1.70356880629231,,,
8287,ME,2020-04-19,20.0,2.0,1.7035688062922958,2.8473935761101825,33.42857142857143,2.142857142857143
4543,ME,2020-04-20,8.0,1.0,0.6814275225169268,2.153797705098125,25.285714285714285,2.2857142857142856
4491,ME,2020-04-21,13.0,1.0,1.1073197240899901,1.8617573384825994,21.857142857142858,2.2857142857142856
19259,ME,2020-04-22,19.0,3.0,1.6183903659776888,1.6670637604431806,19.571428571428573,2.142857142857143
19311,ME,2020-04-23,30.0,5.0,2.555353209438451,1.7157371549086764,20.142857142857142,2.4285714285714284
30595,ME,2020-04-24,28.0,3.0,2.3849963288092226,1.679232109059555,19.714285714285715,2.5714285714285716
30543,ME,2020-04-25,0.0,0.0,0.0,1.435865136732082,16.857142857142858,2.142857142857143
9379,ME,2020-04-26,50.0,3.0,4.258922015730761,1.8009155952232914,21.142857142857142,2.2857142857142856
9431,ME,2020-04-27,8.0,1.0,0.6814275225169126,1.8009155952232894,21.142857142857142,2.2857142857142856
17751,ME,2020-04-28,17.0,0.0,1.4480334853484607,1.8495889896887852,21.714285714285715,2.142857142857143
17803,ME,2020-04-29,16.0,1.0,1.3628550450338395,1.8130839438396638,21.285714285714285,1.8571428571428572
13539,ME,2020-04-30,39.0,1.0,3.3219591722699846,1.9225990813870257,22.571428571428573,1.2857142857142858
2775,ME,2020-05-01,28.0,2.0,2.3849963288092226,1.9225990813870257,22.571428571428573,1.1428571428571428
21287,ME,2020-05-02,30.0,1.0,2.555353209438465,2.287649539878235,26.857142857142858,1.2857142857142858
21235,ME,2020-05-03,32.0,1.0,2.725710090067679,2.0686192647835093,24.285714285714285,1.0
24355,ME,2020-05-04,20.0,0.0,1.7035688062922958,2.2146394481799923,26.0,0.8571428571428571
24407,ME,2020-05-05,21.0,4.0,1.788747246606917,2.2633128426454863,26.571428571428573,1.4285714285714286
15047,ME,2020-05-06,28.0,1.0,2.3849963288092226,2.4093330260419696,28.285714285714285,1.4285714285714286
14995,ME,2020-05-07,76.0,0.0,6.473561463910741,2.859561924847792,33.57142857142857,1.2857142857142858
22847,ME,2020-05-08,44.0,1.0,3.747851373843062,3.054255502709769,35.857142857142854,1.1428571428571428
22795,ME,2020-05-09,34.0,1.0,2.8960669706969213,3.102928897175263,36.42857142857143,1.1428571428571428
11875,ME,2020-05-10,28.0,0.0,2.384996328809237,3.054255502709771,35.857142857142854,1.0
11927,ME,2020-05-11,26.0,1.0,2.2146394481799803,3.1272655944080117,36.714285714285715,1.1428571428571428
28983,ME,2020-05-12,15.0,0.0,1.2776766047192183,3.054255502709769,35.857142857142854,0.5714285714285714
28931,ME,2020-05-13,38.0,1.0,3.2367807319553776,3.1759389888735052,37.285714285714285,0.5714285714285714
17647,ME,2020-05-14,50.0,3.0,-12.620249367262701,0.4482517272772993,33.57142857142857,1.0
17699,ME,2020-05-15,38.0,0.0,2.826935037032868,0.31669225059012873,32.714285714285715,0.8571428571428571
7195,ME,2020-05-16,45.0,1.0,3.347686228065214,0.3812092873570277,34.285714285714285,0.8571428571428571
7143,ME,2020-05-17,39.0,0.0,2.901328064323195,0.45497096385902175,35.857142857142854,0.8571428571428571
30075,ME,2020-05-18,26.0,1.0,1.9342187095487873,0.4149108583402799,35.857142857142854,0.8571428571428571
30023,ME,2020-05-19,28.0,2.0,2.0830047641294698,0.5299577382560301,37.714285714285715,1.1428571428571428
18479,ME,2020-05-20,78.0,0.0,5.802656128646362,0.8965113663547422,43.42857142857143,1.0
18531,ME,2020-05-21,58.0,0.0,4.314795582839622,3.3158035020836456,44.57142857142857,0.5714285714285714
3607,ME,2020-05-22,71.0,2.0,5.2819049376140015,3.6665134878809504,49.285714285714285,0.8571428571428571
3555,ME,2020-05-23,65.0,2.0,4.835546773871982,3.879064994424774,52.142857142857146,1.0
7819,ME,2020-05-24,42.0,1.0,3.1245071461941905,3.910947720406345,52.57142857142857,1.1428571428571428
7871,ME,2020-05-25,19.0,0.0,1.413467518516427,3.8365546931160077,51.57142857142857,1.0
