,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10578,MI,2020-04-13,1391.0,123.0,17.458952972960788,,,
6366,MI,2020-04-14,1366.0,166.0,17.14516872703922,,,
6314,MI,2020-04-15,1058.0,153.0,13.279347408309206,,,
16870,MI,2020-04-16,750.0,75.0,9.41352603197663,,,
16922,MI,2020-04-17,1214.0,231.0,15.23736080375943,,,
8238,MI,2020-04-18,768.0,81.0,9.639450656744145,,,
8290,MI,2020-04-19,633.0,83.0,7.9450159709882655,12.874117510253955,1025.7142857142858,130.28571428571428
4546,MI,2020-04-20,576.0,77.0,7.229587992557981,11.412779655910697,909.2857142857143,123.71428571428571
4494,MI,2020-04-21,667.0,107.0,8.371762484437909,10.159435906967653,809.4285714285714,115.28571428571429
19262,MI,2020-04-22,1299.0,238.0,16.30422708738348,10.591561575406834,843.8571428571429,127.42857142857143
19314,MI,2020-04-23,1330.0,164.0,16.693319496705215,11.631532070368062,926.7142857142857,140.14285714285714
30598,MI,2020-04-24,1345.0,108.0,16.881590017344763,11.866421958023109,945.4285714285714,122.57142857142857
30546,MI,2020-04-25,433.0,70.0,5.434742362461179,11.265749344554113,897.5714285714286,121.0
9382,MI,2020-04-26,704.0,160.0,8.836163102015405,11.39305607755799,907.7142857142857,132.0
9434,MI,2020-04-27,432.0,92.0,5.422190994418486,11.134856506395206,887.1428571428571,134.14285714285714
17754,MI,2020-04-28,1052.0,161.0,13.204039180852533,11.825181748740151,942.1428571428571,141.85714285714286
17806,MI,2020-04-29,1137.0,102.0,14.270905464476527,11.534707231182015,919.0,122.42857142857143
13542,MI,2020-04-30,980.0,119.0,12.300340681782814,10.907138829050243,869.0,116.0
2778,MI,2020-05-01,977.0,77.0,12.262686577654904,10.247295480523121,816.4285714285714,111.57142857142857
21290,MI,2020-05-02,851.0,155.0,10.68121420428281,10.99679145792621,876.1428571428571,123.71428571428571
21238,MI,2020-05-03,594.0,32.0,7.455512617325439,10.799555674399073,860.4285714285714,105.42857142857143
24358,MI,2020-05-04,189.0,86.0,2.372208560058084,10.363843898061873,825.7142857142857,104.57142857142857
24410,MI,2020-05-05,461.0,44.0,5.786180667655003,9.30414982474794,741.2857142857143,87.85714285714286
15050,MI,2020-05-06,728.0,73.0,9.137395935038626,8.570791320542526,682.8571428571429,83.71428571428571
14998,MI,2020-05-07,566.0,89.0,7.104074312131729,7.828467553449514,623.7142857142857,79.42857142857143
22850,MI,2020-05-08,641.0,54.0,8.045426915329358,7.226001887403007,575.7142857142857,76.14285714285714
22798,MI,2020-05-09,429.0,131.0,5.384536890290519,6.469333699689822,515.4285714285714,72.71428571428571
11878,MI,2020-05-10,367.0,25.0,4.6063520716472794,6.062310764592943,483.0,71.71428571428571
11930,MI,2020-05-11,370.0,29.0,4.6440061757750755,6.386853281123941,508.85714285714283,63.57142857142857
28986,MI,2020-05-12,469.0,90.0,5.886591611996096,6.401197701744097,510.0,70.14285714285714
28934,MI,2020-05-13,370.0,40.0,4.644006175775189,5.759284878992178,458.85714285714283,65.42857142857143
17650,MI,2020-05-14,1191.0,73.0,-110.900737126254,-11.098545326491498,548.1428571428571,63.142857142857146
