,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10581,MO,2020-04-13,216.0,8.0,4.198341962581424,,,
6369,MO,2020-04-14,247.0,23.0,3.942345497418586,,,
6317,MO,2020-04-15,61.0,3.0,0.767989386911978,,,
16873,MO,2020-04-16,389.0,16.0,6.536442973545675,,,
16925,MO,2020-04-17,204.0,16.0,3.3620868558446375,,,
8241,MO,2020-04-18,183.0,11.0,3.549817593988223,,,
8293,MO,2020-04-19,156.0,2.0,2.798894641413824,3.5937027016720497,208.0,11.285714285714286
4549,MO,2020-04-20,145.0,11.0,2.508765318828239,3.352334609707309,197.85714285714286,11.714285714285714
4497,MO,2020-04-21,209.0,16.0,3.0036918102977523,3.2182412258329043,192.42857142857142,10.714285714285714
19265,MO,2020-04-22,214.0,15.0,3.601016886209223,3.622959440018225,214.28571428571428,12.428571428571429
19317,MO,2020-04-23,217.0,12.0,3.9082126395351366,3.247497963731005,189.71428571428572,11.857142857142858
30601,MO,2020-04-24,274.0,18.0,4.812733468772549,3.454733194149278,199.71428571428572,12.142857142857142
30549,MO,2020-04-25,146.0,8.0,2.508765318828196,3.3060114405549887,194.42857142857142,11.714285714285714
9385,MO,2020-04-26,180.0,2.0,3.1572896869607234,3.3572107327759744,197.85714285714286,11.714285714285714
9437,MO,2020-04-27,184.0,62.0,3.157289686960695,3.449857071080611,203.42857142857142,19.0
17757,MO,2020-04-28,139.0,-13.0,2.4746324573475817,3.3742771635163007,193.42857142857142,14.857142857142858
17809,MO,2020-04-29,245.0,9.0,3.583950455468866,3.3718391019819642,197.85714285714286,14.0
13545,MO,2020-04-30,192.0,12.0,2.696496056971881,3.198736733044356,194.28571428571428,14.0
2781,MO,2020-05-01,331.0,10.0,4.249541254341693,3.1182807024113766,202.42857142857142,12.857142857142858
21293,MO,2020-05-02,243.0,16.0,4.932198483954835,3.464485440286611,216.28571428571428,14.0
21241,MO,2020-05-03,169.0,6.0,4.471404853965964,3.6522161784302165,214.71428571428572,14.571428571428571
24361,MO,2020-05-04,322.0,6.0,5.59778928282762,4.000858977839777,234.42857142857142,6.571428571428571
24413,MO,2020-05-05,186.0,23.0,2.9866253795574096,4.074000823869753,241.14285714285714,11.714285714285714
15053,MO,2020-05-06,205.0,19.0,3.44741900954628,4.0544963315950975,235.42857142857142,13.142857142857142
15001,MO,2020-05-07,213.0,22.0,4.40313913100465,4.29830248502835,238.42857142857142,14.571428571428571
22853,MO,2020-05-08,142.0,34.0,2.5940974725298815,4.061810516198092,211.42857142857142,18.0
22801,MO,2020-05-09,175.0,10.0,3.037824671778395,3.7911856858871715,201.71428571428572,17.142857142857142
11881,MO,2020-05-10,139.0,8.0,2.6794296262315243,3.5351892247822514,197.42857142857142,17.428571428571427
11933,MO,2020-05-11,96.0,13.0,1.5189123358891834,2.9524925180767605,165.14285714285714,18.428571428571427
28989,MO,2020-05-12,123.0,16.0,1.9114402429167683,2.798894641413812,156.14285714285714,17.428571428571427
28937,MO,2020-05-13,139.0,22.0,2.3039681499442963,2.6355445186135285,146.71428571428572,17.857142857142858
17653,MO,2020-05-14,191.0,15.0,-4.946122507888987,1.2999357130572946,143.57142857142858,16.857142857142858
17705,MO,2020-05-15,194.0,15.0,2.8024768681603973,1.3297041981473683,151.0,14.142857142857142
7201,MO,2020-05-16,179.0,13.0,3.14463974159861,1.3449634938359705,151.57142857142858,14.571428571428571
7149,MO,2020-05-17,133.0,6.0,2.4277270543947793,1.3090059835735783,150.71428571428572,14.285714285714286
30081,MO,2020-05-18,131.0,11.0,2.1833250019389254,1.4039220787235414,155.71428571428572,14.0
30029,MO,2020-05-19,150.0,20.0,2.4603139947222132,1.4823326146957478,159.57142857142858,14.571428571428571
18485,MO,2020-05-20,148.0,9.0,2.1996184721025998,1.4674255178612197,160.85714285714286,12.714285714285714
18537,MO,2020-05-21,166.0,28.0,2.6232486963594397,2.5487642613252808,157.28571428571428,14.571428571428571
3613,MO,2020-05-22,150.0,9.0,2.395140114067374,2.4905732964548486,151.0,13.714285714285714
3561,MO,2020-05-23,116.0,5.0,2.118151121284029,2.3439320649813373,142.0,12.571428571428571
7825,MO,2020-05-24,161.0,4.0,2.9817050399613834,2.4230717772051378,146.0,12.285714285714286
7877,MO,2020-05-25,301.0,3.0,5.327964743537535,2.872306026004939,170.28571428571428,11.142857142857142
29197,MO,2020-05-26,109.0,6.0,1.6782274268634865,2.7605793734536923,164.42857142857142,9.142857142857142
29145,MO,2020-05-27,248.0,-4.0,3.861552428802412,2.997998510125094,178.71428571428572,7.285714285714286
6161,MO,2020-05-28,162.0,19.0,2.6884225770143644,3.007309064504369,178.14285714285714,6.0
6109,MO,2020-05-29,112.0,23.0,1.678227426863458,2.904892966332381,172.71428571428572,8.0
25817,MO,2020-05-30,211.0,44.0,3.4868026150368223,3.100414608297066,186.28571428571428,13.571428571428571
25869,MO,2020-05-31,127.0,2.0,2.2810858229212556,3.0003261487199047,181.42857142857142,13.285714285714286
13129,MO,2020-06-01,297.0,0.0,4.659932466824841,2.904892966332377,180.85714285714286,12.857142857142858
25765,MO,2020-06-02,298.0,10.0,4.741399817643497,3.342489022158093,207.85714285714286,13.428571428571429
25713,MO,2020-06-03,185.0,5.0,2.835063808487888,3.1958477906845895,198.85714285714286,14.714285714285714
22073,MO,2020-06-04,238.0,4.0,4.057074070767072,3.3913694326492623,209.71428571428572,12.571428571428571
22125,MO,2020-06-05,130.0,10.0,2.1833250019389254,3.4635262290886146,212.28571428571428,10.714285714285714
493,MO,2020-06-06,375.0,10.0,6.175225192051187,3.8475865972335237,235.71428571428572,5.857142857142857
441,MO,2020-06-07,75.0,0.0,1.1731298517879907,3.6893071727859144,228.28571428571428,5.571428571428571
23685,MO,2020-06-08,149.0,9.0,2.199618472102685,3.3378337449684636,207.14285714285714,6.857142857142857
23529,MO,2020-06-09,153.0,21.0,3.1609332117623126,3.1120528012711515,186.42857142857142,8.428571428571429
3821,MO,2020-06-10,168.0,6.0,2.606955226195737,3.0794658609437016,184.0,8.571428571428571
3873,MO,2020-06-11,200.0,11.0,3.0468789206161944,2.9351522680650044,178.57142857142858,9.571428571428571
18225,MO,2020-06-12,298.0,19.0,4.8554541087896155,3.316884997615103,202.57142857142858,10.857142857142858
