,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10580,MS,2020-04-13,161.0,2.0,5.560916908650086,,,
6368,MS,2020-04-14,145.0,13.0,5.008279251349919,,,
6316,MS,2020-04-15,273.0,11.0,9.429380797710493,,,
16872,MS,2020-04-16,264.0,7.0,9.118522136248686,,,
16924,MS,2020-04-17,169.0,11.0,5.83723576146221,,,
8240,MS,2020-04-18,181.0,12.0,6.2517140403826374,,,
8292,MS,2020-04-19,300.0,7.0,10.361956973009853,7.366857981259126,213.28571428571428,9.0
4548,MS,2020-04-20,238.0,10.0,8.220485865254489,7.746796403631184,224.28571428571428,10.142857142857142
4496,MS,2020-04-21,204.0,14.0,7.046130741646721,8.037918045102156,232.71428571428572,10.285714285714286
19264,MS,2020-04-22,178.0,10.0,6.148094470652524,7.569162855522445,219.14285714285714,10.142857142857142
19316,MS,2020-04-23,259.0,8.0,8.9458228533652,7.544491529396233,218.42857142857142,10.285714285714286
30600,MS,2020-04-24,281.0,8.0,9.705699698052513,8.09712923462342,234.42857142857142,9.857142857142858
30548,MS,2020-04-25,284.0,12.0,9.809319267782712,8.60535855282343,249.14285714285714,9.857142857142858
9384,MS,2020-04-26,193.0,6.0,6.666192319303008,8.077392173722453,233.85714285714286,9.714285714285714
9436,MS,2020-04-27,183.0,2.0,6.32079375353598,7.806007586334094,226.0,8.571428571428571
17756,MS,2020-04-28,248.0,10.0,8.565884431021487,8.023115256244775,232.28571428571428,8.0
17808,MS,2020-04-29,227.0,11.0,7.8405474429107755,8.264894252281668,239.28571428571428,8.142857142857142
13544,MS,2020-04-30,246.0,11.0,8.496804717868145,8.200748804353518,237.42857142857142,8.571428571428571
2780,MS,2020-05-01,397.0,20.0,13.712323060949757,8.773123570481696,254.0,10.285714285714286
21292,MS,2020-05-02,229.0,10.0,7.909627156064147,8.501738983093329,246.14285714285714,10.0
21240,MS,2020-05-03,109.0,12.0,3.7648443668602454,8.087260704172934,234.14285714285714,10.857142857142858
24360,MS,2020-05-04,327.0,7.0,11.294533100580793,8.797794896607908,254.71428571428572,11.571428571428571
24412,MS,2020-05-05,330.0,32.0,11.398152670310822,9.202404645077811,266.42857142857144,14.714285714285714
15052,MS,2020-05-06,217.0,32.0,7.4951488771438335,9.153061992825391,265.0,17.714285714285715
15000,MS,2020-05-07,262.0,22.0,9.049442423095286,9.23201023642927,267.2857142857143,19.285714285714285
22852,MS,2020-05-08,404.0,13.0,13.954102056986585,9.266550093005959,268.2857142857143,18.285714285714285
22800,MS,2020-05-09,288.0,12.0,9.947478694089511,9.557671741295296,276.7142857142857,18.571428571428573
11880,MS,2020-05-10,123.0,9.0,4.248402358934015,9.626751454448693,278.7142857142857,18.142857142857142
11932,MS,2020-05-11,173.0,5.0,5.975395187769038,8.866874609761298,256.7142857142857,17.857142857142858
28988,MS,2020-05-12,234.0,22.0,8.082326438947746,8.393185148138002,243.0,16.428571428571427
28936,MS,2020-05-13,182.0,8.0,6.286253896959238,8.220485865254489,238.0,13.0
17652,MS,2020-05-14,393.0,15.0,3.72655587006642,7.460073500536079,256.7142857142857,12.0
17704,MS,2020-05-15,318.0,13.0,10.684948905447925,6.993051621744842,244.42857142857142,12.0
7200,MS,2020-05-16,322.0,17.0,10.819350778472426,7.117604776656687,249.28571428571428,12.714285714285714
7148,MS,2020-05-17,173.0,11.0,5.812881008309773,7.341101726567509,256.42857142857144,13.0
30080,MS,2020-05-18,136.0,6.0,4.5696636828329815,7.140282940148073,251.14285714285714,13.142857142857142
30028,MS,2020-05-19,272.0,27.0,9.139327365666247,7.29128307253643,256.57142857142856,13.857142857142858
18484,MS,2020-05-20,263.0,16.0,8.836923151360963,7.65566439459382,268.14285714285717,15.0
18536,MS,2020-05-21,255.0,10.0,8.568119405312132,8.34731632820035,248.42857142857142,14.285714285714286
3612,MS,2020-05-22,403.0,15.0,13.540988707218617,8.755322014167591,260.57142857142856,14.571428571428571
3560,MS,2020-05-23,380.0,21.0,12.76817793732772,9.033725894004062,268.85714285714283,15.142857142857142
7824,MS,2020-05-24,255.0,9.0,8.568119405312018,9.427331379290097,280.57142857142856,14.857142857142858
7876,MS,2020-05-25,198.0,10.0,6.652892714712891,9.724935526701513,289.42857142857144,15.428571428571429
29196,MS,2020-05-26,273.0,17.0,9.172927833922301,9.729735593595235,289.57142857142856,14.0
29144,MS,2020-05-27,313.0,18.0,10.516946564167313,9.969738938281855,296.7142857142857,14.285714285714286
6160,MS,2020-05-28,328.0,23.0,11.020953588009206,10.320143821524296,307.14285714285717,16.142857142857142
6108,MS,2020-05-29,421.0,17.0,14.1457971358289,10.406545025611479,309.7142857142857,16.428571428571427
25816,MS,2020-05-30,436.0,13.0,14.649804159670737,10.675348771660481,317.7142857142857,15.285714285714286
25868,MS,2020-05-31,294.0,11.0,9.878537667300975,10.862551380516047,323.2857142857143,15.571428571428571
13128,MS,2020-06-01,229.0,5.0,7.694507230652675,11.01135345422173,327.7142857142857,14.857142857142858
25764,MS,2020-06-02,289.0,28.0,9.710535326020363,11.088154524521453,330.0,16.428571428571427
25712,MS,2020-06-03,281.0,15.0,9.441731579971247,10.934552383922014,325.42857142857144,16.0
22072,MS,2020-06-04,238.0,12.0,7.996911444957959,10.502546363486122,312.57142857142856,14.428571428571429
22124,MS,2020-06-05,209.0,9.0,7.022497865530227,9.484932182014884,282.2857142857143,13.285714285714286
492,MS,2020-06-06,270.0,8.0,9.072126429153968,8.688121077655344,258.57142857142856,12.571428571428571
