,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10582,MT,2020-04-13,7.0,1.0,0.80832622042049,,,
6370,MT,2020-04-14,5.0,0.0,0.5773758695795124,,,
6318,MT,2020-04-15,5.0,0.0,0.5773758761164416,,,
16874,MT,2020-04-16,11.0,0.0,1.27022692026555,,,
16926,MT,2020-04-17,7.0,1.0,0.8083262219871656,,,
8242,MT,2020-04-18,4.0,2.0,0.4619006982783773,,,
8294,MT,2020-04-19,7.0,0.0,0.8083262219871656,0.7588368612335289,6.571428571428571,0.5714285714285714
4550,MT,2020-04-20,0.0,0.0,0.0,0.6433616868877446,5.571428571428571,0.42857142857142855
4498,MT,2020-04-21,4.0,2.0,0.4619006982783844,0.6268652338447264,5.428571428571429,0.7142857142857143
19266,MT,2020-04-22,2.0,2.0,0.2309503491391851,0.5773758728479754,5.0,1.0
19318,MT,2020-04-23,3.0,0.0,0.3464255237087883,0.44540424476843804,3.857142857142857,1.0
30602,MT,2020-04-24,2.0,0.0,0.2309503491391922,0.3629219772187276,3.142857142857143,0.8571428571428571
30550,MT,2020-04-25,1.0,0.0,0.115475174569589,0.31343261668890066,2.7142857142857144,0.5714285714285714
9386,MT,2020-04-26,3.0,0.0,0.3464255237087883,0.2474468026491325,2.142857142857143,0.5714285714285714
9438,MT,2020-04-27,1.0,0.0,0.11547517456960321,0.2639432561590758,2.2857142857142856,0.5714285714285714
17758,MT,2020-04-28,2.0,1.0,0.2309503491391851,0.2309503491391902,2.0,0.42857142857142855
17810,MT,2020-04-29,0.0,1.0,0.0,0.1979574421193066,1.7142857142857142,0.2857142857142857
13546,MT,2020-04-30,2.0,0.0,0.2309503491391851,0.18146098860936327,1.5714285714285714,0.2857142857142857
2782,MT,2020-05-01,0.0,0.0,0.0,0.1484680815894787,1.2857142857142858,0.2857142857142857
21294,MT,2020-05-02,2.0,0.0,0.23095034913919932,0.16496453509942302,1.4285714285714286,0.2857142857142857
21242,MT,2020-05-03,0.0,0.0,0.0,0.1154751745695961,1.0,0.2857142857142857
24362,MT,2020-05-04,2.0,0.0,0.2309503491391851,0.13197162807953638,1.1428571428571428,0.2857142857142857
24414,MT,2020-05-05,-1.0,0.0,-0.1154751745695961,0.08248226754971048,0.7142857142857143,0.14285714285714285
15054,MT,2020-05-06,0.0,0.0,0.0,0.08248226754971048,0.7142857142857143,0.0
15002,MT,2020-05-07,0.0,0.0,0.0,0.0494893605298269,0.42857142857142855,0.0
22854,MT,2020-05-08,2.0,0.0,0.2309503491391922,0.08248226754971151,0.7142857142857143,0.0
22802,MT,2020-05-09,0.0,0.0,0.0,0.04948936052982589,0.42857142857142855,0.0
11882,MT,2020-05-10,0.0,0.0,0.0,0.04948936052982589,0.42857142857142855,0.0
11934,MT,2020-05-11,1.0,0.0,0.1154751745695961,0.0329929070198846,0.2857142857142857,0.0
28990,MT,2020-05-12,2.0,0.0,0.230950349139178,0.08248226754970947,0.7142857142857143,0.0
28938,MT,2020-05-13,1.0,0.0,0.11547517456960321,0.09897872105965279,0.8571428571428571,0.0
17654,MT,2020-05-14,0.0,0.0,-10.122592970923762,-1.3471059890723132,0.8571428571428571,0.0
17706,MT,2020-05-15,4.0,0.0,0.37425920069462393,-1.3266332959929659,1.1428571428571428,0.0
7202,MT,2020-05-16,2.0,0.0,0.18712960034731196,-1.2999004959433498,1.4285714285714286,0.0
7150,MT,2020-05-17,0.0,0.0,0.0,-1.2999004959433498,1.4285714285714286,0.0
30082,MT,2020-05-18,2.0,0.0,0.18712960034731196,-1.289664149403676,1.5714285714285714,0.0
30030,MT,2020-05-19,1.0,0.0,0.09356480017365953,-1.30929065639875,1.4285714285714286,0.0
18486,MT,2020-05-20,7.0,0.0,0.6549536012155883,-1.232222309735038,2.2857142857142856,0.0
18538,MT,2020-05-21,1.0,0.0,0.09356480017366664,0.2272288004217375,2.4285714285714284,0.0
3614,MT,2020-05-22,0.0,0.0,0.0,0.1737632003225055,1.8571428571428572,0.0
3562,MT,2020-05-23,0.0,0.0,0.0,0.1470304002728895,1.5714285714285714,0.0
7826,MT,2020-05-24,0.0,0.0,0.0,0.1470304002728895,1.5714285714285714,0.0
7878,MT,2020-05-25,0.0,0.0,0.0,0.1202976002232735,1.2857142857142858,0.0
29198,MT,2020-05-26,0.0,1.0,0.0,0.106931200198465,1.1428571428571428,0.14285714285714285
29146,MT,2020-05-27,2.0,0.0,0.18712960034730486,0.0400992000744245,0.42857142857142855,0.14285714285714285
6162,MT,2020-05-28,4.0,0.0,0.37425920069462393,0.08019840014884697,0.8571428571428571,0.14285714285714285
