,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10589,NC,2020-04-13,316.0,5.0,3.186166387660414,,,
6377,NC,2020-04-14,227.0,18.0,2.288796742339585,,,
6325,NC,2020-04-15,227.0,18.0,2.2887967441683656,,,
16881,NC,2020-04-16,299.0,20.0,3.0147587058719694,,,
16933,NC,2020-04-17,406.0,27.0,4.093618844762609,,,
8249,NC,2020-04-18,283.0,10.0,2.853433825290196,,,
8301,NC,2020-04-19,273.0,13.0,2.752605774926593,2.925453860717105,290.14285714285717,15.857142857142858
4557,NC,2020-04-20,294.0,18.0,2.9643446806901608,2.89376504543564,287.0,17.714285714285715
4505,NC,2020-04-21,239.0,27.0,2.409790403690309,2.911049854200029,288.7142857142857,19.0
19273,NC,2020-04-22,361.0,20.0,3.6398926181263676,3.1040635504797436,307.85714285714283,19.285714285714285
19325,NC,2020-04-23,325.0,16.0,3.27691163681736,3.141513969186228,311.57142857142856,18.714285714285715
30609,NC,2020-04-24,470.0,13.0,4.738918367089724,3.2336996152329585,320.7142857142857,16.714285714285715
30557,NC,2020-04-25,478.0,11.0,4.8195808073806035,3.514577755531588,348.57142857142856,16.857142857142858
9393,NC,2020-04-26,229.0,19.0,2.308962353326706,3.4512001238744614,342.2857142857143,17.714285714285715
9445,NC,2020-04-27,324.0,16.0,4.345688970671645,3.648535022443245,346.57142857142856,17.428571428571427
17765,NC,2020-04-28,434.0,23.0,3.297077246890069,3.7752902857574964,374.42857142857144,16.857142857142858
17817,NC,2020-04-29,425.0,19.0,4.285192140453489,3.867475931804228,383.57142857142856,16.714285714285715
13553,NC,2020-04-30,574.0,24.0,5.787530090871272,4.226135710954787,419.14285714285717,17.857142857142858
2789,NC,2020-05-01,316.0,13.0,3.1861663914901186,4.004314000154843,397.14285714285717,17.857142857142858
21301,NC,2020-05-02,518.0,12.0,5.222893008835044,4.061930028934049,402.85714285714283,18.0
21249,NC,2020-05-03,182.0,3.0,1.8350705166177192,3.9942311951184797,396.14285714285717,15.714285714285714
24369,NC,2020-05-04,201.0,8.0,2.026643812308606,3.6629390296380455,378.57142857142856,14.571428571428571
24421,NC,2020-05-05,539.0,30.0,5.43463191459864,3.9683039821678414,393.57142857142856,15.571428571428571
