,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10590,ND,2020-04-13,23.0,1.0,3.7927634054596453,,,
6378,ND,2020-04-14,10.0,0.0,1.6490275645403543,,,
6326,ND,2020-04-15,24.0,1.0,3.95766616816546,,,
16882,ND,2020-04-16,28.0,0.0,4.617277191640085,,,
16934,ND,2020-04-17,0.0,0.0,0.0,,,
8250,ND,2020-04-18,135.0,0.0,22.261872173979015,,,
8302,ND,2020-04-19,57.0,0.0,9.399457140124483,6.525437663415578,39.57142857142857,0.2857142857142857
4558,ND,2020-04-20,42.0,0.0,6.925915787460127,6.973030860844218,42.285714285714285,0.14285714285714285
4506,ND,2020-04-21,17.0,4.0,2.8033468663528964,7.137933618246009,43.285714285714285,0.7142857142857143
19274,ND,2020-04-22,35.0,1.0,5.77159648955012,7.397066521300961,44.857142857142854,0.7142857142857143
19326,ND,2020-04-23,30.0,1.0,4.947082705328654,7.444181594685042,45.142857142857146,0.8571428571428571
30610,ND,2020-04-24,39.0,0.0,6.431207516927287,8.362925525674655,50.714285714285715,0.8571428571428571
30558,ND,2020-04-25,55.0,1.0,9.06965162643587,6.478322590311349,39.285714285714285,1.0
9394,ND,2020-04-26,64.0,1.0,10.553776438034504,6.643225347155637,40.285714285714285,1.1428571428571428
9446,ND,2020-04-27,75.0,2.0,12.367706763321678,7.420624057993002,45.0,1.4285714285714286
17766,ND,2020-04-28,49.0,0.0,8.080235085370134,8.17446523213832,49.57142857142857,0.8571428571428571
17818,ND,2020-04-29,42.0,0.0,6.925915787460156,8.339367988982612,50.57142857142857,0.7142857142857143
13554,ND,2020-04-30,34.0,0.0,5.606693732705821,8.43359813575078,51.142857142857146,0.5714285714285714
2790,ND,2020-05-01,40.0,4.0,6.596110273771558,8.457155672442818,51.285714285714285,1.1428571428571428
21302,ND,2020-05-02,46.0,1.0,7.585526814837351,8.245137842214458,50.0,1.1428571428571428
21250,ND,2020-05-03,38.0,1.0,6.266304760082903,7.632641888221372,46.285714285714285,1.1428571428571428
24370,ND,2020-05-04,34.0,0.0,5.606693732705821,6.666782883847678,40.42857142857143,0.8571428571428571
24422,ND,2020-05-05,41.0,0.0,6.7610130306158,6.478322590311344,39.285714285714285,0.8571428571428571
15062,ND,2020-05-06,57.0,6.0,9.399457140124525,6.831685640691968,41.42857142857143,1.7142857142857142
15010,ND,2020-05-07,48.0,0.0,7.915332328525864,7.161491154380546,43.42857142857143,1.7142857142857142
22862,ND,2020-05-08,54.0,2.0,8.9047488695916,7.491296668069124,45.42857142857143,1.4285714285714286
22810,ND,2020-05-09,39.0,2.0,6.431207516927259,7.326393911224825,44.42857142857143,1.5714285714285714
11890,ND,2020-05-10,27.0,0.0,4.452374434795843,7.067261007612387,42.857142857142854,1.4285714285714286
11942,ND,2020-05-11,27.0,1.0,4.452374434795786,6.9023582507680965,41.857142857142854,1.5714285714285714
28998,ND,2020-05-12,53.0,2.0,8.739846112747273,7.185048691072593,43.57142857142857,1.8571428571428572
28946,ND,2020-05-13,76.0,2.0,12.532609520165977,7.632641888221372,46.285714285714285,1.2857142857142858
