,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10585,NH,2020-04-13,56.0,0.0,4.216397566393923,,,
6373,NH,2020-04-14,-63.0,2.0,-4.743447266393915,,,
6321,NH,2020-04-15,217.0,7.0,16.33854058430728,,,
16877,NH,2020-04-16,0.0,0.0,0.0,,,
16929,NH,2020-04-17,148.0,5.0,11.143336435397273,,,
8245,NH,2020-04-18,55.0,1.0,4.141104756397624,,,
8297,NH,2020-04-19,48.0,0.0,3.614055060128834,4.9585695908901455,65.85714285714286,2.142857142857143
4553,NH,2020-04-20,57.0,4.0,4.291690383903003,4.969325707677157,66.0,2.7142857142857144
4501,NH,2020-04-21,43.0,0.0,3.2375909913654226,6.109474030214206,81.14285714285714,2.4285714285714284
19269,NH,2020-04-22,98.0,6.0,7.378695747763032,4.82949619642217,64.14285714285714,2.2857142857142856
19321,NH,2020-04-23,82.0,3.0,6.17401072772013,5.711497728953617,75.85714285714286,2.7142857142857144
30605,NH,2020-04-24,50.0,2.0,3.7646406876341842,4.6573983364160325,61.857142857142854,2.2857142857142856
30553,NH,2020-04-25,77.0,0.0,5.797546658956691,4.894032893924471,65.0,2.142857142857143
9389,NH,2020-04-26,67.0,7.0,5.04461852142984,5.098399102681758,67.71428571428571,3.142857142857143
9441,NH,2020-04-27,74.0,0.0,5.57166821769863,5.281253078938276,70.14285714285714,2.5714285714285716
17761,NH,2020-04-28,72.0,0.0,5.421082590193265,5.593180450199396,74.28571428571429,2.5714285714285716
17813,NH,2020-04-29,48.0,0.0,3.614055060128834,5.055374637680225,67.14285714285714,1.7142857142857142
13549,NH,2020-04-30,88.0,12.0,6.62576761023621,5.119911335182522,68.0,3.0
2785,NH,2020-05-01,164.0,9.0,12.348021455440204,6.346108587726239,84.28571428571429,4.0
21297,NH,2020-05-02,119.0,3.0,8.959844836569431,6.797865470242344,90.28571428571429,4.428571428571429
21245,NH,2020-05-03,89.0,2.0,6.701060423988906,7.0345000277507825,93.42857142857143,3.7142857142857144
24365,NH,2020-05-04,70.0,0.0,5.270496962687872,6.991475562749246,92.85714285714286,3.7142857142857144
24417,NH,2020-05-05,48.0,6.0,3.614055060128919,6.7333287727400535,89.42857142857143,4.571428571428571
15057,NH,2020-05-06,105.0,0.0,7.905745444031766,7.346427399011901,97.57142857142857,4.571428571428571
15005,NH,2020-05-07,102.0,22.0,7.67986700277379,7.49701302651727,99.57142857142857,6.0
22857,NH,2020-05-08,104.0,7.0,7.830452630279154,6.851646051494263,91.0,5.714285714285714
22805,NH,2020-05-09,64.0,10.0,4.818740080171779,6.260059657723169,83.14285714285714,6.714285714285714
11885,NH,2020-05-10,60.0,2.0,4.517568825161106,5.948132286462055,79.0,6.714285714285714
11937,NH,2020-05-11,89.0,0.0,6.701060423988849,6.152498495219338,81.71428571428571,6.714285714285714
28993,NH,2020-05-12,79.0,9.0,5.948132286462055,6.485938098981214,86.14285714285714,7.142857142857143
28941,NH,2020-05-13,60.0,8.0,4.517568825161106,6.001912867713977,79.71428571428571,8.285714285714286
17657,NH,2020-05-14,83.0,1.0,0.33833299981370146,4.953122295862536,77.0,5.285714285714286
17709,NH,2020-05-15,71.0,0.0,5.221697846086414,4.580443040977859,72.28571428571429,4.285714285714286
7205,NH,2020-05-16,103.0,20.0,7.575139128829591,4.9742143336432605,77.85714285714286,5.714285714285714
7153,NH,2020-05-17,40.0,1.0,2.941801603428928,4.749104730538663,75.0,5.571428571428571
30085,NH,2020-05-18,56.0,0.0,4.118522244800602,4.380170704940342,70.28571428571429,5.571428571428571
30033,NH,2020-05-19,69.0,0.0,5.074607765914948,4.255381487719327,68.85714285714286,4.285714285714286
18489,NH,2020-05-20,147.0,18.0,10.811120892601423,5.154460354496515,81.28571428571429,5.714285714285714
18541,NH,2020-05-21,67.0,9.0,4.92751768574351,5.810058166772202,79.0,6.857142857142857
3617,NH,2020-05-22,79.0,5.0,5.810058166772194,5.894109641155885,80.14285714285714,7.571428571428571
