,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10586,NJ,2020-04-13,2734.0,93.0,30.78069708336932,,,
6374,NJ,2020-04-14,4240.0,362.0,47.73597501663062,,,
6322,NJ,2020-04-15,2206.0,351.0,24.836217201729937,,,
16878,NJ,2020-04-16,4287.0,362.0,48.26512380392671,,,
16930,NJ,2020-04-17,3150.0,322.0,35.464226727867754,,,
8246,NJ,2020-04-18,2953.0,230.0,33.24630524679162,,,
8298,NJ,2020-04-19,3881.0,292.0,43.694179025668404,37.71753201514063,3350.1428571428573,287.42857142857144
4554,NJ,2020-04-20,3421.0,134.0,38.51527607493165,38.8224718710781,3448.285714285714,293.2857142857143
4502,NJ,2020-04-21,3665.0,257.0,41.26234633575746,37.897667773810504,3366.1428571428573,278.2857142857143
19270,NJ,2020-04-22,3527.0,397.0,39.708675450536475,40.022304666497156,3554.8571428571427,284.85714285714283
19322,NJ,2020-04-23,4111.0,276.0,46.283630501036214,39.73923419465565,3529.714285714286,272.57142857142856
30606,NJ,2020-04-24,2171.0,257.0,24.442170230540114,38.16465469503742,3389.8571428571427,263.2857142857143
30554,NJ,2020-04-25,3302.0,231.0,37.1755163985456,38.72597057385941,3439.714285714286,263.42857142857144
9390,NJ,2020-04-26,3540.0,24.0,39.85503575131861,38.17752153466659,3391.0,225.14285714285714
9442,NJ,2020-04-27,2150.0,106.0,24.2057420523538,36.133302388584035,3209.4285714285716,221.14285714285714
17762,NJ,2020-04-28,2668.0,398.0,30.03763711427041,34.529772499800174,3067.0,241.28571428571428
17814,NJ,2020-04-29,2509.0,329.0,28.247538050863795,32.89246715698979,2921.5714285714284,231.57142857142858
13550,NJ,2020-04-30,2287.0,457.0,25.7481544528996,29.958827721541702,2661.0,257.42857142857144
2786,NJ,2020-05-01,2551.0,310.0,28.574034106453155,30.54909398952928,2715.285714285714,265.0
21298,NJ,2020-05-02,2532.0,204.0,28.450190775022747,29.302618900454586,2605.285714285714,261.14285714285717
21246,NJ,2020-05-03,3028.0,129.0,34.0794331127795,28.477532809234713,2532.1428571428573,276.14285714285717
24366,NJ,2020-05-04,1533.0,39.0,17.16918913015843,27.472310963206805,2444.0,266.57142857142856
24418,NJ,2020-05-05,2332.0,334.0,26.164718385893593,26.919036859152975,2396.0,257.42857142857144
15058,NJ,2020-05-06,1300.0,305.0,14.602254624141096,24.969710655335444,2223.285714285714,254.0
