,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10584,NV,2020-04-13,154.0,2.0,5.104921043224522,,,
6372,NV,2020-04-14,144.0,12.0,4.773432626775474,,,
6320,NV,2020-04-15,77.0,5.0,2.5524605603759056,,,
16876,NV,2020-04-16,3.0,6.0,0.09944651385274028,,,
16928,NV,2020-04-17,310.0,5.0,10.276139764782485,,,
8244,NV,2020-04-18,102.0,9.0,3.3811814709929138,,,
8296,NV,2020-04-19,102.0,7.0,3.3811814709929564,4.224109064428142,127.42857142857143,6.571428571428571
4552,NV,2020-04-20,102.0,1.0,3.381181470992942,3.9778605541093452,120.0,6.428571428571429
4500,NV,2020-04-21,107.0,4.0,3.5469256607474904,3.802645273248205,114.71428571428571,5.285714285714286
19268,NV,2020-04-22,144.0,9.0,4.773432664931221,4.1199270024703925,124.28571428571429,5.857142857142857
19320,NV,2020-04-23,127.0,23.0,4.20990241976574,4.7071349890293925,142.0,8.285714285714286
30604,NV,2020-04-24,190.0,2.0,6.298279210673115,4.138869195585197,124.85714285714286,7.857142857142857
30552,NV,2020-04-25,141.0,8.0,4.673986151078481,4.323555578454564,130.42857142857142,7.714285714285714
9388,NV,2020-04-26,195.0,1.0,6.464023400427692,4.763961568373811,143.71428571428572,6.857142857142857
9440,NV,2020-04-27,-34.0,0.0,-1.1270604903309902,4.1199270024703925,124.28571428571429,6.714285714285714
17760,NV,2020-04-28,121.0,13.0,4.011009392060288,4.186224678372221,126.28571428571429,8.0
17812,NV,2020-04-29,113.0,11.0,3.7458186884529425,4.039422681732467,121.85714285714286,8.285714285714286
13548,NV,2020-04-30,119.0,13.0,3.944711716158423,4.00153829550285,120.71428571428571,6.857142857142857
2784,NV,2020-05-01,195.0,3.0,6.464023400427692,4.025216036896361,121.42857142857143,7.0
21296,NV,2020-05-02,141.0,9.0,4.673986151078481,4.025216036896361,121.42857142857143,7.142857142857143
21244,NV,2020-05-03,83.0,3.0,2.7513535499255966,3.494834629681776,105.42857142857143,7.428571428571429
24364,NV,2020-05-04,158.0,7.0,5.237516396244018,4.404059899192491,132.85714285714286,8.428571428571429
24416,NV,2020-05-05,30.0,5.0,0.994465138527346,3.9731250058306427,119.85714285714286,7.285714285714286
15056,NV,2020-05-06,81.0,19.0,2.685055874023817,3.821587460912196,115.28571428571429,8.428571428571429
15004,NV,2020-05-07,114.0,8.0,3.7789675264039033,3.7979097195186933,114.57142857142857,7.714285714285714
22856,NV,2020-05-08,65.0,-3.0,2.1546744668092117,3.182288443287482,96.0,6.857142857142857
22804,NV,2020-05-09,251.0,19.0,8.320358325678683,3.703198753944654,111.71428571428571,8.285714285714286
11884,NV,2020-05-10,-51.0,-3.0,-1.6905907354964427,3.068635284598648,92.57142857142857,7.428571428571429
11936,NV,2020-05-11,32.0,2.0,1.0607628144291255,2.471956201482235,74.57142857142857,6.714285714285714
28992,NV,2020-05-12,161.0,9.0,5.336962910096702,3.092313025992143,93.28571428571429,7.285714285714286
28940,NV,2020-05-13,163.0,10.0,5.403260585998538,3.4806279848456745,105.0,6.0
17656,NV,2020-05-14,28.0,2.0,-3.5137384237499703,2.4388128491094068,92.71428571428571,5.142857142857143
17708,NV,2020-05-15,229.0,10.0,7.4346883729265585,3.1931005499833134,116.14285714285714,7.0
7204,NV,2020-05-16,80.0,4.0,2.5972710473105565,2.375516653073581,91.71428571428571,4.857142857142857
7152,NV,2020-05-17,136.0,3.0,4.4153607804280455,3.247795441062794,118.42857142857143,5.714285714285714
30084,NV,2020-05-18,112.0,8.0,3.6361794662348075,3.6157121056064625,129.85714285714286,6.571428571428571
30032,NV,2020-05-19,35.0,0.0,1.1363060831984058,3.01561827319242,111.85714285714286,5.285714285714286
18488,NV,2020-05-20,292.0,19.0,9.480039322683638,3.598015235576006,130.28571428571428,6.571428571428571
18540,NV,2020-05-21,12.0,6.0,0.3895906570965906,4.155633675696943,128.0,7.142857142857143
3616,NV,2020-05-22,125.0,3.0,4.0582360114227924,3.6732833383392625,113.14285714285714,6.142857142857143
3564,NV,2020-05-23,1.0,1.0,0.03246588809139439,3.3068826013079535,101.85714285714286,5.714285714285714
7828,NV,2020-05-24,355.0,-7.0,11.525390272440688,4.322601100166902,133.14285714285714,4.285714285714286
7880,NV,2020-05-25,75.0,14.0,2.434941606853755,4.150995691683895,127.85714285714286,5.142857142857143
29200,NV,2020-05-26,101.0,0.0,3.279054697229583,4.457102636545492,137.28571428571428,5.142857142857143
29148,NV,2020-05-27,93.0,8.0,3.0193275924985983,3.534143817947629,108.85714285714286,3.5714285714285716
6164,NV,2020-05-28,98.0,4.0,3.1816570329554565,3.933010443070324,121.14285714285714,3.2857142857142856
6112,NV,2020-05-29,128.0,0.0,4.155633675696947,3.946924395109489,121.57142857142857,2.857142857142857
25820,NV,2020-05-30,141.0,11.0,4.577690220884904,4.596242156937133,141.57142857142858,4.285714285714286
25872,NV,2020-05-31,111.0,0.0,3.60371357814347,3.464574057751816,106.71428571428571,5.285714285714286
13132,NV,2020-06-01,74.0,0.0,2.4024757187622754,3.459936073738748,106.57142857142857,3.2857142857142856
25768,NV,2020-06-02,156.0,0.0,5.064678542255706,3.715025194456765,114.42857142857143,3.2857142857142856
25716,NV,2020-06-03,93.0,14.0,3.0193275924984846,3.715025194456749,114.42857142857143,4.142857142857143
22076,NV,2020-06-04,178.0,-1.0,5.778928080266098,4.086063915501127,125.85714285714286,3.4285714285714284
22128,NV,2020-06-05,180.0,6.0,5.84385985644883,4.327239084179967,133.28571428571428,4.285714285714286
496,NV,2020-06-06,182.0,1.0,5.908791632631562,4.5173964287152035,139.14285714285714,2.857142857142857
444,NV,2020-06-07,178.0,1.0,5.778928080266098,4.828141357589865,148.71428571428572,3.0
23688,NV,2020-06-08,147.0,4.0,4.772485549433213,5.166714190542856,159.14285714285714,3.5714285714285716
23532,NV,2020-06-09,229.0,4.0,7.43468837292653,5.505287023495831,169.57142857142858,4.142857142857143
3824,NV,2020-06-10,173.0,3.0,5.616598639809183,5.876325744540217,181.0,2.5714285714285716
3876,NV,2020-06-11,255.0,10.0,8.278801463302443,6.233450513545408,192.0,4.142857142857143
18228,NV,2020-06-12,231.0,2.0,7.499620149109376,6.469987698211201,199.28571428571428,3.5714285714285716
18176,NV,2020-06-13,293.0,1.0,9.512505210775032,6.984803923660268,215.14285714285714,3.5714285714285716
29044,NV,2020-06-14,204.0,1.0,6.623041170642011,7.105391507999684,218.85714285714286,3.5714285714285716
29096,NV,2020-06-15,114.0,2.0,3.7011112424175963,6.952338035568881,214.14285714285714,3.2857142857142856
7984,NV,2020-06-16,368.0,2.0,11.947446817628702,7.597017813383478,234.0,3.0
7932,NV,2020-06-17,171.0,6.0,5.551666863626451,7.587741845357373,233.71428571428572,3.4285714285714284
16460,NV,2020-06-18,315.0,2.0,10.226754748785424,7.866020886140656,242.28571428571428,2.2857142857142856
16408,NV,2020-06-19,355.0,4.0,11.525390272440745,8.441130903759424,260.0,2.5714285714285716
28732,NV,2020-06-20,452.0,7.0,14.674581417304807,9.178570361835105,282.7142857142857,3.4285714285714284
28784,NV,2020-06-21,264.0,1.0,8.570994456124993,9.456849402618388,291.2857142857143,3.4285714285714284
12196,NV,2020-06-22,288.0,2.0,9.350175770318117,10.263858620889891,316.14285714285717,3.4285714285714284
12144,NV,2020-06-23,0.0,0.0,0.0,8.557080504085791,263.57142857142856,3.142857142857143
7360,NV,2020-06-24,0.0,0.0,0.0,7.763985237853441,239.14285714285714,2.2857142857142856
7412,NV,2020-06-25,1331.0,6.0,43.21209704962996,12.476176995116946,384.2857142857143,2.857142857142857
17604,NV,2020-06-26,381.0,3.0,12.369503362816658,12.596764579456362,388.0,2.7142857142857144
17552,NV,2020-06-27,1099.0,2.0,35.68001101242925,15.597540235902711,480.42857142857144,2.0
9128,NV,2020-06-28,821.0,0.0,26.65449412302496,18.180897331174133,560.0,1.8571428571428572
8972,NV,2020-06-29,734.0,4.0,23.829961859074615,20.24943820099649,623.7142857142857,2.142857142857143
21036,NV,2020-06-30,562.0,3.0,18.24582910735694,22.8559852163332,704.0,2.5714285714285716
26340,NV,2020-07-01,645.0,4.0,20.940497818941594,25.847484904753426,796.1428571428571,3.142857142857143
13704,NV,2020-07-02,632.0,14.0,20.51844127375375,22.605534079628253,696.2857142857143,4.285714285714286
13756,NV,2020-07-03,985.0,3.0,31.978899770011594,25.406876423513243,782.5714285714286,4.285714285714286
1640,NV,2020-07-04,857.0,2.0,27.823266094314704,24.284484292354023,748.0,4.285714285714286
1588,NV,2020-07-05,843.0,4.0,27.36874366103541,24.38651994064123,751.1428571428571,4.857142857142857
23168,NV,2020-07-06,491.0,3.0,15.940751052868677,23.259489825468954,716.4285714285714,4.714285714285714
23220,NV,2020-07-07,876.0,11.0,28.440117968051027,24.715816805568107,761.2857142857143,5.857142857142857
15212,NV,2020-07-08,516.0,5.0,16.752398255153253,24.11751686788406,742.8571428571429,6.0
15368,NV,2020-07-09,603.0,18.0,19.5769305191036,23.983015331505467,738.7142857142857,6.571428571428571
19112,NV,2020-07-10,1004.0,8.0,32.59575164374792,24.07113702775351,741.4285714285714,7.285714285714286
19060,NV,2020-07-11,930.0,13.0,30.19327592498564,24.409709860706503,751.8571428571429,8.857142857142858
4708,NV,2020-07-12,845.0,1.0,27.433675437218085,24.4189858287326,752.1428571428571,8.428571428571429
4760,NV,2020-07-13,832.0,0.0,27.011618892030242,26.000538377184252,800.8571428571429,8.0
9544,NV,2020-07-14,1104.0,19.0,35.84234045288599,27.057998732160677,833.4285714285714,9.142857142857142
9492,NV,2020-07-15,849.0,6.0,27.563538989583662,28.602447408507878,881.0,9.285714285714286
30344,NV,2020-07-16,1447.0,8.0,46.97814006823046,32.516905915526,1001.5714285714286,7.857142857142857
30396,NV,2020-07-17,1380.0,11.0,44.80292556610766,34.26078790443454,1055.2857142857142,8.285714285714286
7620,NV,2020-07-18,1182.0,9.0,38.37467972401373,35.42955987572426,1091.2857142857142,7.714285714285714
7672,NV,2020-07-19,1288.0,1.0,41.81606386170074,37.4841867935075,1154.5714285714287,7.714285714285714
10792,NV,2020-07-20,948.0,1.0,30.777661910630513,38.02219293902182,1171.142857142857,7.857142857142857
