,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10588,NY,2020-04-13,6716.0,644.0,39.83150523575523,,,
6376,NY,2020-04-14,7271.0,785.0,43.12311976424485,,,
6324,NY,2020-04-15,11434.0,758.0,67.81319638498098,,,
16880,NY,2020-04-16,9237.0,3263.0,54.78314633896821,,,
16932,NY,2020-04-17,6906.0,2299.0,40.958364037773435,,,
8248,NY,2020-04-18,11115.0,503.0,65.92125923542608,,,
8300,NY,2020-04-19,6103.0,637.0,36.19590149471924,49.80378464169543,8397.42857142857,1269.857142857143
4556,NY,2020-04-20,5245.0,327.0,31.10724288707229,48.55746144902644,8187.285714285715,1224.5714285714287
4504,NY,2020-04-21,5301.0,439.0,31.439369789203283,46.88835430973479,7905.857142857143,1175.142857142857
19272,NY,2020-04-22,4931.0,324.0,29.24495990012474,41.37860624046961,6976.857142857143,1113.142857142857
19324,NY,2020-04-23,168.0,1538.0,0.9963807063925287,33.694782578673085,5681.285714285715,866.7142857142857
30608,NY,2020-04-24,8130.0,428.0,48.21770918434663,34.7318318853264,5856.142857142857,599.4285714285714
30556,NY,2020-04-25,10553.0,606.0,62.58812853904192,34.25567035727152,5775.857142857143,614.1428571428571
9392,NY,2020-04-26,5902.0,267.0,35.00380314957147,34.08537059367898,5747.142857142857,561.2857142857143
9444,NY,2020-04-27,3951.0,374.0,23.432739112835634,32.98901291164517,5562.285714285715,568.0
17764,NY,2020-04-28,3110.0,249.0,18.444904743335428,31.132660762235478,5249.285714285715,540.8571428571429
17816,NY,2020-04-29,4585.0,552.0,27.192890111959514,30.83950793535473,5199.857142857143,573.4285714285714
13552,NY,2020-04-30,4681.0,104.0,27.762250515612095,34.6632036223861,5844.571428571428,368.57142857142856
2788,NY,2020-05-01,3942.0,449.0,23.379361574993254,31.11486824962133,5246.285714285715,371.57142857142856
21300,NY,2020-05-02,4663.0,162.0,27.65549543992711,26.124492092604928,4404.857142857143,308.14285714285717
21248,NY,2020-05-03,3438.0,512.0,20.390219455816123,24.03683727921131,4052.8571428571427,343.14285714285717
24368,NY,2020-05-04,2538.0,277.0,15.052465671571099,22.83965535903066,3851.0,329.2857142857143
24420,NY,2020-05-05,2239.0,116.0,13.279145247693577,22.10168971679611,3726.5714285714284,310.2857142857143
15060,NY,2020-05-06,2786.0,513.0,16.52331338100771,20.57746446951728,3469.5714285714284,304.7142857142857
15008,NY,2020-05-07,3491.0,516.0,20.70455384533261,19.569222088048782,3299.5714285714284,363.57142857142856
22860,NY,2020-05-08,2938.0,100.0,17.42480068679106,18.718570532591325,3156.1428571428573,313.7142857142857
22808,NY,2020-05-09,2715.0,375.0,16.102223915805553,17.068103172002534,2877.8571428571427,344.14285714285717
11888,NY,2020-05-10,2273.0,33.0,13.480793723987972,16.08104235316994,2711.4285714285716,275.7142857142857
11940,NY,2020-05-11,1660.0,340.0,9.84519031316313,15.337145873397374,2586.0,284.7142857142857
28996,NY,2020-05-12,1430.0,294.0,8.481097679411278,14.651710506499901,2470.4285714285716,310.14285714285717
28944,NY,2020-05-13,2176.0,190.0,12.905502482796692,14.134880378184041,2383.285714285714,264.0
