,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10591,OH,2020-04-13,371.0,36.0,3.3202492229178304,,,
6379,OH,2020-04-14,310.0,35.0,2.77433223708217,,,
6327,OH,2020-04-15,509.0,36.0,4.555274541595921,,,
16883,OH,2020-04-16,620.0,34.0,5.548664472259361,,,
16935,OH,2020-04-17,693.0,48.0,6.201974966573772,,,
8251,OH,2020-04-18,1115.0,35.0,9.978646591240619,,,
8303,OH,2020-04-19,1380.0,31.0,12.350253180190208,6.389913601694269,714.0,36.42857142857143
4559,OH,2020-04-20,1317.0,43.0,11.786437274138024,7.599369037582868,849.1428571428571,37.42857142857143
4507,OH,2020-04-21,806.0,38.0,7.213263813937175,8.233502119990726,920.0,37.857142857142854
19275,OH,2020-04-22,392.0,43.0,3.508187859880124,8.08391830831704,903.2857142857143,38.857142857142854
19327,OH,2020-04-23,577.0,40.0,5.163837742731673,8.028943061241657,897.1428571428571,39.714285714285715
30611,OH,2020-04-24,475.0,48.0,4.250992942456776,7.750231343510657,866.0,39.714285714285715
30559,OH,2020-04-25,418.0,31.0,3.740873789361956,6.859120943242276,766.4285714285714,39.142857142857146
9395,OH,2020-04-26,385.0,50.0,3.445541648096537,5.5870192958003235,624.2857142857143,41.857142857142854
9447,OH,2020-04-27,353.0,46.0,3.1591589656573547,4.354550966017371,486.57142857142856,42.285714285714285
17767,OH,2020-04-28,444.0,55.0,3.973559718843802,3.891736095289746,434.85714285714283,44.714285714285715
17819,OH,2020-04-29,534.0,41.0,4.779011013204041,4.073282260050306,455.14285714285717,44.42857142857143
13555,OH,2020-04-30,724.0,30.0,6.479408190186746,4.26122089540103,476.14285714285717,43.0
2791,OH,2020-05-01,716.0,49.0,6.407812519576936,4.569337977846767,510.57142857142856,43.142857142857146
21303,OH,2020-05-02,592.0,42.0,5.2980796251250695,4.791795954384355,535.4285714285714,44.714285714285715
21251,OH,2020-05-03,579.0,43.0,5.181736660384132,5.039823813282583,563.1428571428571,43.714285714285715
