,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10592,OK,2020-04-13,99.0,3.0,2.7066677494321425,,,
6380,OK,2020-04-14,115.0,9.0,3.1441090105678597,,,
6328,OK,2020-04-15,79.0,15.0,2.1598661821386926,,,
16884,OK,2020-04-16,94.0,8.0,2.5699673614145055,,,
16936,OK,2020-04-17,108.0,5.0,2.952728457795388,,,
8252,OK,2020-04-18,0.0,0.0,0.0,,,
8304,OK,2020-04-19,102.0,4.0,2.788687987917882,2.3317181070380673,85.28571428571429,6.285714285714286
4560,OK,2020-04-20,113.0,3.0,3.08942884935999,2.3863982641706167,87.28571428571429,6.285714285714286
4508,OK,2020-04-21,127.0,21.0,3.4721899457408796,2.433266969195334,89.0,8.0
19276,OK,2020-04-22,87.0,6.0,2.378586813224075,2.4645127736361028,90.14285714285714,6.714285714285714
19328,OK,2020-04-23,123.0,9.0,3.362829632489195,2.5777788123610583,94.28571428571429,6.857142857142857
30612,OK,2020-04-24,104.0,9.0,2.8433681445437173,2.5621559104679625,93.71428571428571,7.428571428571429
30560,OK,2020-04-25,73.0,6.0,1.9958257168431714,2.8472738700169873,104.14285714285714,8.285714285714286
9396,OK,2020-04-26,60.0,1.0,1.640404698775228,2.683233400139465,98.14285714285714,7.857142857142857
9448,OK,2020-04-27,27.0,2.0,0.738182114448847,2.3473410094378733,85.85714285714286,7.714285714285714
17768,OK,2020-04-28,129.0,10.0,3.526870102366715,2.355152460384421,86.14285714285714,6.142857142857143
17820,OK,2020-04-29,63.0,7.0,1.7224249337139952,2.2614150490258385,82.71428571428571,6.285714285714286
13556,OK,2020-04-30,145.0,8.0,3.9643113553734395,2.3473410094378733,85.85714285714286,6.142857142857143
2792,OK,2020-05-01,130.0,8.0,3.5542101806796467,2.448889871743006,89.57142857142857,6.0
21304,OK,2020-05-02,103.0,8.0,2.8160280662307997,2.5660616359412387,93.85714285714286,6.285714285714286
21252,OK,2020-05-03,121.0,0.0,3.3081494758633596,2.8043108898109717,102.57142857142857,6.142857142857143
24372,OK,2020-05-04,72.0,0.0,1.9684856385302396,2.9800685361083135,109.0,5.857142857142857
24424,OK,2020-05-05,83.0,9.0,2.2692264999723903,2.800405164337696,102.42857142857143,5.714285714285714
15064,OK,2020-05-06,75.0,6.0,2.050505873469021,2.847273870016985,104.14285714285714,5.571428571428571
15012,OK,2020-05-07,128.0,7.0,3.4995300240538256,2.780876536971326,101.71428571428571,5.428571428571429
22864,OK,2020-05-08,94.0,6.0,2.5699673614144842,2.640270419933446,96.57142857142857,5.142857142857143
22812,OK,2020-05-09,66.0,4.0,1.804445168652748,2.4957585774222957,91.28571428571429,4.571428571428571
11892,OK,2020-05-10,99.0,2.0,2.706667752979129,2.4098326170102626,88.14285714285714,4.857142857142857
11944,OK,2020-05-11,24.0,2.0,0.6561618795100799,2.2223577942930968,81.28571428571429,5.142857142857143
29000,OK,2020-05-12,119.0,4.0,3.253469319237496,2.362963911330969,86.42857142857143,4.428571428571429
28948,OK,2020-05-13,126.0,0.0,3.444849867427962,2.5621559104679608,93.71428571428571,3.5714285714285716
17664,OK,2020-05-14,105.0,6.0,-7.39388075693644,1.0059543703264942,90.42857142857143,3.4285714285714284
17716,OK,2020-05-15,124.0,1.0,3.133710103005555,1.0864890476966471,94.71428571428571,2.7142857142857144
7212,OK,2020-05-16,150.0,3.0,3.790778350409937,1.370250930804817,106.71428571428571,2.5714285714285716
7160,OK,2020-05-17,73.0,0.0,1.8448454638661929,1.2471334609315403,103.0,2.2857142857142856
30092,OK,2020-05-18,88.0,0.0,2.2239232989071525,1.471099377988265,112.14285714285714,2.0
30040,OK,2020-05-19,91.0,5.0,2.299738865915373,1.334852170370819,108.14285714285714,2.142857142857143
18496,OK,2020-05-20,43.0,6.0,1.0866897937841884,0.9979721598502798,96.28571428571429,3.0
18548,OK,2020-05-21,148.0,5.0,3.7402346390711614,2.5885600735656515,102.42857142857143,2.857142857142857
3624,OK,2020-05-22,169.0,3.0,4.270943608128533,2.751022002868934,108.85714285714286,3.142857142857143
3572,OK,2020-05-23,111.0,4.0,2.805175979303357,2.6102216641394227,103.28571428571429,3.2857142857142856
7836,OK,2020-05-24,77.0,0.0,1.9459328865437726,2.624662724521934,103.85714285714286,3.2857142857142856
7888,OK,2020-05-25,53.0,2.0,1.3394083504781804,2.498303446174938,98.85714285714286,3.5714285714285716
29208,OK,2020-05-26,48.0,5.0,1.2130490721311844,2.343062047062911,92.71428571428571,3.5714285714285716
29156,OK,2020-05-27,91.0,4.0,2.299738865915373,2.5163547716530803,99.57142857142857,3.2857142857142856
6172,OK,2020-05-28,44.0,3.0,1.1119616494535762,2.1408872017077107,84.71428571428571,3.0
6120,OK,2020-05-29,65.0,4.0,1.642670618510948,1.7654196317623416,69.85714285714286,3.142857142857143
25828,OK,2020-05-30,80.0,5.0,2.021748453551993,1.653501413797861,65.42857142857143,3.2857142857142856
25880,OK,2020-05-31,0.0,0.0,0.0,1.375511001434465,54.42857142857143,3.2857142857142856
13140,OK,2020-06-01,155.0,0.0,12.509568556352832,2.9712481737022722,69.0,3.0
25776,OK,2020-06-02,119.0,5.0,-5.585080102937326,2.0000868629781996,79.14285714285714,3.0
25724,OK,2020-06-03,113.0,2.0,2.855719690642161,2.0795126950820264,82.28571428571429,2.7142857142857144
22084,OK,2020-06-04,102.0,3.0,2.577729278278781,2.288908070628484,90.57142857142857,2.7142857142857144
22136,OK,2020-06-05,100.0,1.0,2.5271855669399486,2.415267348975484,95.57142857142857,2.2857142857142856
504,OK,2020-06-06,52.0,2.0,1.3141364948087926,2.3141799262978844,91.57142857142857,1.8571428571428572
452,OK,2020-06-07,91.0,1.0,2.299738865915373,2.6427140500000803,104.57142857142857,2.0
23696,OK,2020-06-08,55.0,0.0,1.3899520618169845,1.0541974079235306,90.28571428571429,2.0
23540,OK,2020-06-09,158.0,6.0,3.992953195765125,2.422487879166738,95.85714285714286,2.142857142857143
3832,OK,2020-06-10,120.0,2.0,3.0326226803279894,2.447759734836142,96.85714285714286,2.142857142857143
3884,OK,2020-06-11,143.0,2.0,3.6138753607241085,2.595780603756903,102.71428571428571,2.0
