,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10594,PA,2020-04-13,1286.0,38.0,10.756705664584018,,,
6382,PA,2020-04-14,1107.0,106.0,9.31877083541599,,,
6330,PA,2020-04-15,1229.0,87.0,10.232375830199857,,,
16886,PA,2020-04-16,1192.0,74.0,11.956308708554218,,,
16938,PA,2020-04-17,1822.0,83.0,12.949357604613539,,,
8254,PA,2020-04-18,1816.0,121.0,14.013906021189115,,,
8306,PA,2020-04-19,1267.0,239.0,9.930488960593209,11.30827337502142,1388.4285714285713,106.85714285714286
4562,PA,2020-04-20,895.0,77.0,8.03972386249626,10.920133117580312,1332.5714285714287,112.42857142857143
4510,PA,2020-04-21,1244.0,254.0,10.605762209913507,11.103989028222815,1352.142857142857,133.57142857142858
19278,PA,2020-04-22,1343.0,64.0,6.617677843339322,10.587603601528453,1368.4285714285713,130.28571428571428
19330,PA,2020-04-23,1854.0,56.0,18.24826651398604,11.486454716590142,1463.0,127.71428571428571
30614,PA,2020-04-24,1641.0,21.0,14.530291447139973,11.712302408379632,1437.142857142857,118.85714285714286
30562,PA,2020-04-25,1545.0,53.0,7.507449654208472,10.782808641668112,1398.4285714285713,109.14285714285714
9398,PA,2020-04-26,1324.0,28.0,11.622644279478266,11.024545115794549,1406.5714285714287,79.0
9450,PA,2020-04-27,911.0,81.0,7.483616480703063,10.945101204109806,1408.857142857143,79.57142857142857
17770,PA,2020-04-28,1504.0,162.0,12.544193655021331,11.222019981982353,1446.0,66.42857142857143
17822,PA,2020-04-29,1173.0,316.0,9.45382549048469,11.627183931574548,1421.7142857142858,102.42857142857143
13558,PA,2020-04-30,1581.0,97.0,13.060579080972218,10.886085726858287,1382.7142857142858,108.28571428571429
2794,PA,2020-05-01,1693.0,165.0,12.774580998907084,10.635269948539303,1390.142857142857,128.85714285714286
21306,PA,2020-05-02,1349.0,59.0,7.269117919154269,10.601222557817275,1362.142857142857,129.71428571428572
21254,PA,2020-05-03,1049.0,32.0,5.807349944154851,9.770466224199643,1322.857142857143,130.28571428571428
24374,PA,2020-05-04,955.0,127.0,12.639526349043024,10.507024776819637,1329.142857142857,136.85714285714286
24426,PA,2020-05-05,879.0,315.0,8.32572194456128,9.904385961039631,1239.857142857143,158.71428571428572
15066,PA,2020-05-06,968.0,161.0,7.435950133692245,9.616118052926424,1210.5714285714287,136.57142857142858
15014,PA,2020-05-07,1102.0,240.0,9.18371619075657,9.062280497181332,1142.142857142857,157.0
22866,PA,2020-05-08,1421.0,122.0,11.241313503391495,8.843242283536247,1103.2857142857142,150.85714285714286
22814,PA,2020-05-09,1093.0,59.0,9.445881099316182,9.154208452130806,1066.7142857142858,150.85714285714286
11894,PA,2020-05-10,1415.0,36.0,10.955315421326475,9.889632091726753,1119.0,151.42857142857142
11946,PA,2020-05-11,592.0,28.0,4.131083407606809,8.67414024295015,1067.142857142857,137.28571428571428
29002,PA,2020-05-12,788.0,81.0,6.760676884371833,8.4505623772088,1054.142857142857,103.85714285714286
28950,PA,2020-05-13,761.0,176.0,6.28401341426337,8.285999988718961,1024.5714285714287,106.0
17666,PA,2020-05-14,916.0,181.0,-0.4234203431142305,6.913551912451704,998.0,97.57142857142857
17718,PA,2020-05-15,1009.0,133.0,8.05343607153543,6.458140850757981,939.1428571428571,99.14285714285714
7214,PA,2020-05-16,1101.0,61.0,8.194039223123866,6.2793062970162214,940.2857142857143,99.42857142857143
7162,PA,2020-05-17,699.0,18.0,4.022812392667959,5.288948721493576,838.0,96.85714285714286
30094,PA,2020-05-18,778.0,15.0,7.569136327175443,5.78009913857481,864.5714285714286,95.0
30042,PA,2020-05-19,565.0,116.0,5.014845739986185,5.53069468937686,832.7142857142857,100.0
18498,PA,2020-05-20,769.0,141.0,6.366198252474646,5.542435380549899,833.8571428571429,95.0
18550,PA,2020-05-21,973.0,101.0,8.795508260474207,6.859425181062534,842.0,83.57142857142857
3626,PA,2020-05-22,967.0,144.0,7.491023465181911,6.7790805230120315,836.0,85.14285714285714
3574,PA,2020-05-23,764.0,100.0,6.233406387085665,6.498990117863717,787.8571428571429,90.71428571428571
7838,PA,2020-05-24,707.0,25.0,4.327452554442857,6.542510140974416,789.0,91.71428571428571
7890,PA,2020-05-25,561.0,15.0,2.8276856041667315,5.865160037687458,758.0,91.71428571428571
29210,PA,2020-05-26,468.0,18.0,6.663027128050089,6.100614521696587,744.1428571428571,77.71428571428571
29158,PA,2020-05-27,697.0,96.0,6.084991949297887,6.060442192671336,733.8571428571429,71.28571428571429
6174,PA,2020-05-28,685.0,100.0,5.178882750172647,5.543781405485398,692.7142857142857,71.14285714285714
6122,PA,2020-05-29,715.0,87.0,5.96782265630759,5.326181289931924,656.7142857142857,63.0
25830,PA,2020-05-30,723.0,73.0,5.569447060140419,5.231329957511174,650.8571428571429,59.142857142857146
25882,PA,2020-05-31,548.0,19.0,3.3744756381215666,5.095190398036705,628.1428571428571,58.285714285714285
13142,PA,2020-06-01,382.0,14.0,4.038434965066699,5.268154592450985,602.5714285714286,58.142857142857146
25778,PA,2020-06-02,545.0,99.0,4.5227347094268,4.962398532647659,613.5714285714286,69.71428571428571
25726,PA,2020-06-03,543.0,73.0,4.335263840642256,4.712437374268283,591.5714285714286,66.42857142857143
22086,PA,2020-06-04,544.0,83.0,4.335263840642256,4.591920387192512,571.4285714285714,64.0
22138,PA,2020-06-05,472.0,65.0,3.749417375690655,4.275005347104378,536.7142857142857,60.857142857142854
506,PA,2020-06-06,736.0,33.0,5.389787477555274,4.249339692449358,538.5714285714286,55.142857142857146
454,PA,2020-06-07,429.0,13.0,3.147948338340143,4.2169786496234405,521.5714285714286,54.285714285714285
23698,PA,2020-06-08,347.0,11.0,3.3666643519222816,4.121011419174238,516.5714285714286,53.857142857142854
23542,PA,2020-06-09,504.0,56.0,4.147792971857712,4.067448313807225,510.7142857142857,47.714285714285715
3834,PA,2020-06-10,429.0,50.0,3.4838336449124654,3.945815428702969,494.42857142857144,44.42857142857143
3886,PA,2020-06-11,545.0,52.0,4.155604258057224,3.9201497740479647,494.57142857142856,40.0
18238,PA,2020-06-12,638.0,48.0,4.944544164191939,4.0908821724052915,518.2857142857143,37.57142857142857
18186,PA,2020-06-13,445.0,51.0,3.61662551030156,3.837573319940475,476.7142857142857,40.142857142857146
29054,PA,2020-06-14,341.0,7.0,2.023123125632992,3.6768840038394535,464.14285714285717,39.285714285714285
29106,PA,2020-06-15,333.0,28.0,3.015156472951162,3.626668592557865,462.14285714285717,41.714285714285715
7994,PA,2020-06-16,324.0,31.0,3.038590331549358,3.468211072513814,436.42857142857144,38.142857142857146
7942,PA,2020-06-17,368.0,43.0,2.4293100079994474,3.3175648386690972,427.7142857142857,37.142857142857146
16470,PA,2020-06-18,442.0,41.0,3.0776467625461237,3.1635709107389403,413.0,35.57142857142857
16418,PA,2020-06-19,510.0,37.0,4.030623678867414,3.0330108414068655,394.7142857142857,34.0
28742,PA,2020-06-20,480.0,19.0,3.0542129039479278,2.9526661833563463,399.7142857142857,29.428571428571427
28794,PA,2020-06-21,469.0,5.0,2.694893738777637,3.0486334138055815,418.0,29.142857142857142
12206,PA,2020-06-22,450.0,4.0,5.007034453786787,3.3331874110678137,434.7142857142857,25.714285714285715
12154,PA,2020-06-23,585.0,39.0,4.936732877992654,3.6043506319882845,472.0,26.857142857142858
7370,PA,2020-06-24,498.0,53.0,3.7259835170925726,3.7895897047158735,490.57142857142856,28.285714285714285
7422,PA,2020-06-25,573.0,39.0,3.561946506905997,3.85877538248157,509.2857142857143,28.0
17614,PA,2020-06-26,616.0,21.0,5.616314777336584,4.0853026822628795,524.4285714285714,25.714285714285715
17562,PA,2020-06-27,611.0,24.0,4.577413712822249,4.302902797816354,543.1428571428571,26.428571428571427
9138,PA,2020-06-28,487.0,4.0,3.257306345131269,4.383247455866873,545.7142857142857,26.285714285714285
8982,PA,2020-06-29,558.0,9.0,4.7180168644107425,4.3419592288131525,561.1428571428571,27.0
21046,PA,2020-06-30,606.0,37.0,5.24918432596678,4.3865951499523135,564.1428571428571,26.714285714285715
26350,PA,2020-07-01,637.0,33.0,4.967978022790021,4.56402293648052,584.0,23.857142857142858
13714,PA,2020-07-02,818.0,25.0,6.538046548860507,4.9891800853311645,619.0,21.857142857142858
13766,PA,2020-07-03,772.0,33.0,6.092803235497286,5.057249865068408,641.2857142857143,23.571428571428573
1650,PA,2020-07-04,665.0,3.0,4.139981685658313,4.99475957547356,649.0,20.571428571428573
1598,PA,2020-07-05,559.0,4.0,3.7572286618899398,5.066177049296227,659.2857142857143,20.571428571428573
23178,PA,2020-07-06,515.0,2.0,5.444466480950723,5.169955565944796,653.1428571428571,19.571428571428573
23230,PA,2020-07-07,803.0,32.0,6.233406387085665,5.310558717533207,681.2857142857143,18.857142857142858
15222,PA,2020-07-08,901.0,23.0,6.459933686866975,5.523695240972772,719.0,17.428571428571427
15378,PA,2020-07-09,748.0,36.0,6.38182082487333,5.501377280403176,709.0,19.0
19122,PA,2020-07-10,916.0,31.0,7.342609027394133,5.6799209649598685,729.5714285714286,18.714285714285715
19070,PA,2020-07-11,827.0,18.0,5.733484070326881,5.907564162769664,752.7142857142857,20.857142857142858
4718,PA,2020-07-12,660.0,7.0,4.514923423227401,6.015806271532158,767.1428571428571,21.285714285714285
4770,PA,2020-07-13,403.0,10.0,4.186849402854591,5.836146688946997,751.1428571428571,22.428571428571427
9554,PA,2020-07-14,914.0,21.0,7.311363882596652,5.990140616877137,767.0,20.857142857142858
9502,PA,2020-07-15,988.0,25.0,7.834720057953518,6.186538669889501,779.4285714285714,21.142857142857142
30354,PA,2020-07-16,830.0,26.0,6.2958966766804,6.174263791576225,791.1428571428571,19.714285714285715
30406,PA,2020-07-17,1037.0,21.0,7.842531344152917,6.245681265398908,808.4285714285714,18.285714285714285
7630,PA,2020-07-18,791.0,12.0,5.47571162574809,6.208856630459081,803.2857142857143,17.428571428571427
7682,PA,2020-07-19,772.0,9.0,4.7180168644107425,6.237869979199559,819.2857142857143,17.714285714285715
10802,PA,2020-07-20,740.0,3.0,-28.47994948284986,1.5711844240989226,867.4285714285714,16.714285714285715
10750,PA,2020-07-21,1029.0,20.0,44.69617963271173,6.911872388401077,883.8571428571429,16.571428571428573
27338,PA,2020-07-22,778.0,26.0,5.678805066931318,6.6038845325407625,853.8571428571429,16.714285714285715
27390,PA,2020-07-23,901.0,16.0,6.639593269452121,6.652984045793866,864.0,15.285714285714286
16730,PA,2020-07-24,1191.0,22.0,9.803164180191061,6.933074450942172,886.0,15.428571428571429
16678,PA,2020-07-25,1103.0,9.0,6.428688542069608,7.069214010416674,930.5714285714286,15.0
6434,PA,2020-07-26,818.0,3.0,4.9211103055938565,7.09822735915712,937.1428571428571,14.142857142857142
6486,PA,2020-07-27,768.0,5.0,9.764107749194295,12.561664106592,941.1428571428571,14.428571428571429
29262,PA,2020-07-28,1090.0,24.0,8.498679384898765,7.390592642618718,949.8571428571429,15.0
29366,PA,2020-07-29,785.0,14.0,6.6864609866481715,7.534543488292554,950.8571428571429,13.285714285714286
2118,PA,2020-07-30,913.0,23.0,6.7801964210405,7.55462965280518,952.5714285714286,14.285714285714286
2066,PA,2020-07-31,1007.0,11.0,7.655060475368373,7.247757694973367,926.2857142857143,12.714285714285714
16522,PA,2020-08-01,893.0,12.0,5.319485901761027,7.089300174929284,896.2857142857143,13.142857142857142
5966,PA,2020-08-02,660.0,4.0,4.413376702635787,7.016766803078132,873.7142857142857,13.285714285714286
5914,PA,2020-08-03,577.0,2.0,6.725517417645165,6.582682469999684,846.4285714285714,12.857142857142858
10958,PA,2020-08-04,837.0,24.0,6.48336754546483,6.294780778651979,810.2857142857143,12.857142857142858
11010,PA,2020-08-05,723.0,7.0,5.6397486359347795,6.14525044283578,801.4285714285714,11.857142857142858
27754,PA,2020-08-06,810.0,29.0,6.256840245683634,6.070485274927656,786.7142857142857,12.714285714285714
27702,PA,2020-08-07,766.0,14.0,6.100614521696571,5.848421567260256,752.2857142857143,13.142857142857142
3938,PA,2020-08-08,820.0,14.0,4.97578930898942,5.7993220540071695,741.8571428571429,13.428571428571429
3782,PA,2020-08-09,778.0,1.0,5.053902170982951,5.890825692342479,758.7142857142857,13.0
23594,PA,2020-08-10,620.0,3.0,7.1004591552140255,5.9443887977094585,764.8571428571429,13.142857142857142
23646,PA,2020-08-11,818.0,29.0,6.2099725284878105,5.9053323667127415,762.1428571428571,13.857142857142858
14338,PA,2020-08-12,888.0,36.0,7.045780151818349,6.106194011838966,785.7142857142857,18.0
14286,PA,2020-08-13,1030.0,16.0,7.709739478763822,6.313751045136136,817.1428571428571,16.142857142857142
2222,PA,2020-08-14,843.0,39.0,6.459933686866975,6.365082354446193,828.1428571428571,19.714285714285715
2274,PA,2020-08-15,847.0,17.0,6.241217673284837,6.545857835059825,832.0,20.142857142857142
20474,PA,2020-08-16,684.0,3.0,4.210283261452787,6.425340847984087,818.5714285714286,20.428571428571427
20422,PA,2020-08-17,441.0,0.0,4.5071121370280025,6.054862702528941,793.0,20.0
13090,PA,2020-08-18,652.0,22.0,4.686772112166864,5.83726264305452,769.2857142857143,19.0
13038,PA,2020-08-19,610.0,33.0,5.139825926622393,5.564983468026526,729.5714285714286,18.571428571428573
1182,PA,2020-08-20,776.0,13.0,6.147482238892621,5.34180386233064,693.2857142857143,18.142857142857142
1234,PA,2020-08-21,738.0,17.0,5.663182494532748,5.2279822634257505,678.2857142857143,15.0
22970,PA,2020-08-22,800.0,18.0,5.803785646121014,5.165491973830918,671.5714285714286,15.142857142857142
22918,PA,2020-08-23,600.0,2.0,4.054057537465496,5.143174013261306,659.5714285714286,15.0
26714,PA,2020-08-24,424.0,2.0,4.100925254661661,5.085147315780399,657.1428571428571,15.285714285714286
26766,PA,2020-08-25,594.0,24.0,4.343075126841541,5.036047746448211,648.8571428571429,15.571428571428571
13974,PA,2020-08-26,508.0,29.0,4.054057537465496,4.880937976568654,634.2857142857143,15.0
13922,PA,2020-08-27,639.0,8.0,4.944544164191939,4.709089680182842,614.7142857142857,14.285714285714286
21098,PA,2020-08-28,851.0,20.0,6.788007707239785,4.869778996283848,630.8571428571429,14.714285714285714
