,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10595,PR,2020-04-13,6.0,1.0,0.2045402439951367,,,
6383,PR,2020-04-14,20.0,0.0,0.6818008260048636,,,
6331,PR,2020-04-15,51.0,6.0,1.738592109447687,,,
16887,PR,2020-04-16,69.0,5.0,2.3522128527637562,,,
16939,PR,2020-04-17,25.0,2.0,0.8522510336100453,,,
8255,PR,2020-04-18,50.0,2.0,1.7045020672201048,,,
8307,PR,2020-04-19,95.0,2.0,3.2385539277182076,1.5389218658228287,45.142857142857146,2.5714285714285716
4563,PR,2020-04-20,39.0,1.0,1.3295116124316806,1.6996320613137637,49.857142857142854,2.5714285714285716
4511,PR,2020-04-21,46.0,1.0,1.5681419018425018,1.8262522150048548,53.57142857142857,2.7142857142857144
19279,PR,2020-04-22,-46.0,-1.0,-1.5681419018425018,1.3538616419633993,39.714285714285715,1.7142857142857142
19331,PR,2020-04-23,164.0,6.0,5.59076678048195,1.8165122030659984,53.285714285714285,1.8571428571428572
30615,PR,2020-04-24,-140.0,8.0,-4.772605788216296,1.012961228519378,29.714285714285715,2.7142857142857144
30563,PR,2020-04-25,31.0,6.0,1.0567912816764675,0.9204311162988584,27.0,3.2857142857142856
9399,PR,2020-04-26,64.0,1.0,2.181762646041733,0.7694609332022192,22.571428571428573,3.142857142857143
9451,PR,2020-04-27,18.0,0.0,0.6136207441992383,0.6671908091690132,19.571428571428573,3.0
17771,PR,2020-04-28,11.0,2.0,0.3749904547884242,0.4967406024470021,14.571428571428571,3.142857142857143
17823,PR,2020-04-29,33.0,0.0,1.1249713643652726,0.8814710690481127,25.857142857142858,3.2857142857142856
13559,PR,2020-04-30,106.0,6.0,3.6135443825066247,0.5990107264802091,17.571428571428573,3.2857142857142856
2795,PR,2020-05-01,36.0,2.0,1.2272414883984766,1.4561317659966053,42.714285714285715,2.4285714285714284
21307,PR,2020-05-02,182.0,1.0,6.204387524681195,2.1915026578544237,64.28571428571429,1.7142857142857142
21255,PR,2020-05-03,51.0,2.0,1.7385921085645037,2.128192581071962,62.42857142857143,1.8571428571428572
24375,PR,2020-05-04,35.0,0.0,1.1931514470540776,2.210982681479796,64.85714285714286,1.8571428571428572
24427,PR,2020-05-05,81.0,2.0,2.7612933488965794,2.5518830949238187,74.85714285714286,1.8571428571428572
15067,PR,2020-05-06,44.0,0.0,1.4999618191536825,2.6054531598935915,76.42857142857143,1.8571428571428572
15015,PR,2020-05-07,63.0,3.0,2.147672604697348,2.3960429059208375,70.28571428571429,1.4285714285714286
22867,PR,2020-05-08,125.0,5.0,4.261255168050255,2.8294734315853773,83.0,1.8571428571428572
22815,PR,2020-05-09,17.0,1.0,0.5795307028548393,2.0259224570387553,59.42857142857143,1.8571428571428572
11895,PR,2020-05-10,25.0,3.0,0.8522510336100595,1.8993023034738346,55.714285714285715,2.0
11947,PR,2020-05-11,58.0,2.0,1.977222397975325,2.011312439319727,59.0,2.2857142857142856
29003,PR,2020-05-12,43.0,1.0,1.4658717778092836,1.8262522148786846,53.57142857142857,2.142857142857143
28951,PR,2020-05-13,30.0,1.0,1.0227012403320686,1.7580721321898827,51.57142857142857,2.2857142857142856
17667,PR,2020-05-14,98.0,2.0,3.3408240517514116,1.9285223389118917,56.57142857142857,2.142857142857143
17719,PR,2020-05-15,115.0,5.0,3.920354754606251,1.8798222798484627,55.142857142857146,2.142857142857143
7215,PR,2020-05-16,47.0,0.0,1.6022319431868937,2.025922457038756,59.42857142857143,2.0
7163,PR,2020-05-17,57.0,1.0,1.9431323566309402,2.181762646041739,64.0,1.7142857142857142
30095,PR,2020-05-18,64.0,1.0,2.1817626460417188,2.2109826814797953,64.85714285714286,1.5714285714285714
30043,PR,2020-05-19,95.0,0.0,3.2385539277182005,2.4642229886096407,72.28571428571429,1.4285714285714286
18499,PR,2020-05-20,61.0,1.0,2.079492522008536,2.6151931717062786,76.71428571428571,1.4285714285714286
18551,PR,2020-05-21,47.0,1.0,1.6022319431868937,2.366822870482776,69.42857142857143,1.2857142857142858
3627,PR,2020-05-22,117.0,0.0,3.988534837295063,2.3765628822954636,69.71428571428571,0.5714285714285714
3575,PR,2020-05-23,70.0,1.0,2.386302894108141,2.488573018141356,73.0,0.7142857142857143
7839,PR,2020-05-24,89.0,0.0,3.0340136796518067,2.644413207144337,77.57142857142857,0.5714285714285714
7891,PR,2020-05-25,71.0,2.0,2.42039293545254,2.6785032484887403,78.57142857142857,0.7142857142857143
29211,PR,2020-05-26,64.0,0.0,2.181762646041733,2.527533065392102,74.14285714285714,0.7142857142857143
29159,PR,2020-05-27,73.0,0.0,2.4885730181413663,2.5859731362682203,75.85714285714286,0.5714285714285714
6175,PR,2020-05-28,89.0,2.0,3.0340136796517783,2.790513384334633,81.85714285714286,0.7142857142857143
6123,PR,2020-05-29,161.0,1.0,5.488496656448731,3.004793644213728,88.14285714285714,0.8571428571428571
25831,PR,2020-05-30,71.0,1.0,2.4203929354525684,3.009663650120075,88.28571428571429,0.8571428571428571
