,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10596,RI,2020-04-13,0.0,9.0,-3.119839675491676e-08,,,
6384,RI,2020-04-14,586.0,8.0,55.316365231198404,,,
6332,RI,2020-04-15,0.0,17.0,1.162248963737511e-08,,,
16888,RI,2020-04-16,278.0,14.0,26.242234705638566,,,
16940,RI,2020-04-17,648.0,21.0,61.16894996134465,,,
8256,RI,2020-04-18,314.0,15.0,29.64050970349109,,,
8308,RI,2020-04-19,215.0,11.0,20.29525345939669,27.52333043449907,291.57142857142856,13.571428571428571
4564,RI,2020-04-20,384.0,10.0,36.24826664375979,32.701654245207386,346.42857142857144,13.714285714285714
4512,RI,2020-04-21,410.0,18.0,38.70257636443097,30.32825583566918,321.2857142857143,15.142857142857142
19280,RI,2020-04-22,341.0,18.0,32.18921595188044,34.92671525570603,370.0,15.285714285714286
19332,RI,2020-04-23,415.0,15.0,39.17455900302161,36.77419015533218,389.57142857142856,15.428571428571429
30616,RI,2020-04-24,443.0,15.0,41.81766177912914,34.00972041501568,360.2857142857143,14.571428571428571
30564,RI,2020-04-25,430.0,14.0,40.590506918793494,35.574005731487446,376.85714285714283,14.428571428571429
9400,RI,2020-04-26,310.0,14.0,29.262923592618563,36.85510146480486,390.42857142857144,14.857142857142858
9452,RI,2020-04-27,269.0,10.0,25.392665956175506,35.304301366578535,374.0,14.857142857142858
17772,RI,2020-04-28,219.0,22.0,20.672839570269275,32.72862468169829,346.7142857142857,15.428571428571429
17824,RI,2020-04-29,320.0,18.0,30.20688886979974,32.4454350985439,343.7142857142857,15.428571428571429
13560,RI,2020-04-30,374.0,24.0,35.30430136657856,31.89254115048061,337.85714285714283,16.714285714285715
2796,RI,2020-05-01,341.0,14.0,32.18921595188044,30.517048889445082,323.2857142857143,16.571428571428573
21308,RI,2020-05-02,327.0,24.0,30.86766456382668,29.128071410164107,308.57142857142856,18.0
21256,RI,2020-05-03,188.0,21.0,17.746547211007396,27.482874784219657,291.14285714285717,19.0
24376,RI,2020-05-04,175.0,18.0,16.51939235067175,26.215264269147692,277.7142857142857,20.142857142857142
24428,RI,2020-05-05,281.0,16.0,26.525424288793147,27.051347800365388,286.57142857142856,19.285714285714285
15068,RI,2020-05-06,272.0,21.0,25.675855539329632,26.404057324583942,279.7142857142857,19.714285714285715
15016,RI,2020-05-07,325.0,21.0,30.67887150839033,25.743281630557053,272.7142857142857,19.285714285714285
22868,RI,2020-05-08,249.0,22.0,23.504735401813264,24.50264155197603,259.57142857142856,20.428571428571427
22816,RI,2020-05-09,210.0,15.0,19.823270820805988,22.924871017258788,242.85714285714286,19.142857142857142
11896,RI,2020-05-10,285.0,14.0,26.90301039966539,24.232937187067073,256.7142857142857,18.142857142857142
11948,RI,2020-05-11,176.0,15.0,16.61378887838987,24.24642240531252,256.85714285714283,17.714285714285715
29004,RI,2020-05-12,164.0,22.0,15.481030545772455,22.668651870595276,240.14285714285714,18.571428571428573
28952,RI,2020-05-13,221.0,13.0,20.861632625705624,21.98090574007756,232.85714285714286,17.428571428571427
17668,RI,2020-05-14,181.0,15.0,17.085771516980458,20.039034312733293,212.28571428571428,16.571428571428573
