,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10597,SC,2020-04-13,71.0,0.0,1.4087371422210992,,,
6385,SC,2020-04-14,162.0,15.0,3.214301657778904,,,
6333,SC,2020-04-15,103.0,9.0,2.0436609313212415,,,
16889,SC,2020-04-16,275.0,5.0,5.456376271707697,,,
16941,SC,2020-04-17,168.0,5.0,3.3333498678068736,,,
8257,SC,2020-04-18,149.0,3.0,2.9563638708525417,,,
8309,SC,2020-04-19,129.0,1.0,2.559536505637425,2.996046606760826,151.0,5.428571428571429
4565,SC,2020-04-20,69.0,3.0,1.369054409992117,2.9903776450138286,150.71428571428572,5.857142857142857
4513,SC,2020-04-21,-7.0,1.0,-0.13888957782528166,2.511350325641802,126.57142857142857,3.857142857142857
19281,SC,2020-04-22,322.0,16.0,6.388920579963184,3.1321017040192225,157.85714285714286,4.857142857142857
19333,SC,2020-04-23,156.0,10.0,3.0952534486778234,2.7947984435863833,140.85714285714286,5.571428571428571
30617,SC,2020-04-24,153.0,7.0,3.0357293438955395,2.752281225884764,138.71428571428572,5.857142857142857
30565,SC,2020-04-25,183.0,9.0,3.630970391718236,2.8486535860084348,143.57142857142858,6.714285714285714
9401,SC,2020-04-26,245.0,8.0,4.861135223885029,3.1774534029009494,160.14285714285714,7.714285714285714
9453,SC,2020-04-27,115.0,3.0,2.2817573499868615,3.307839537185913,166.71428571428572,7.714285714285714
17773,SC,2020-04-28,122.0,15.0,2.4206469278121574,3.673487609419833,185.14285714285714,9.714285714285714
17825,SC,2020-04-29,147.0,39.0,2.916681134331,3.1774534029009494,160.14285714285714,13.0
13561,SC,2020-04-30,213.0,13.0,4.226211439540876,3.3390188301670998,168.28571428571428,13.428571428571429
2797,SC,2020-05-01,163.0,12.0,3.234143026503105,3.3673636419681805,169.71428571428572,14.142857142857142
21309,SC,2020-05-02,231.0,11.0,4.583356068234465,3.503418738613356,176.57142857142858,14.428571428571429
21257,SC,2020-05-03,137.0,8.0,2.7182674517234773,3.197294771161706,161.14285714285714,14.428571428571429
24377,SC,2020-05-04,131.0,8.0,2.599219242158938,3.2426464700434314,163.42857142857142,15.142857142857142
24429,SC,2020-05-05,84.0,13.0,1.6666749339034368,3.1349361851993285,158.0,14.857142857142858
15069,SC,2020-05-06,95.0,9.0,1.8849299847717589,2.9875431638337226,150.57142857142858,10.571428571428571
15017,SC,2020-05-07,206.0,11.0,4.087321861715566,2.967701795572964,149.57142857142858,10.285714285714286
22869,SC,2020-05-08,225.0,4.0,4.46430785866994,3.1434396287396544,158.42857142857142,9.142857142857142
22817,SC,2020-05-09,164.0,10.0,3.253984394763876,2.9535293896724277,148.85714285714286,9.0
11897,SC,2020-05-10,122.0,1.0,2.420646927812129,2.9110121719708064,146.71428571428572,8.0
11949,SC,2020-05-11,139.0,15.0,2.7579501882449904,2.933688021411671,147.85714285714286,9.0
29005,SC,2020-05-12,135.0,9.0,2.678584715201964,3.078246561597175,155.14285714285714,8.428571428571429
28953,SC,2020-05-13,103.0,7.0,2.043660930857783,3.1009224110380353,156.28571428571428,8.142857142857142
17669,SC,2020-05-14,159.0,9.0,-0.2767623648836093,2.4774818072381533,149.57142857142858,7.857142857142857
17721,SC,2020-05-15,218.0,9.0,4.234066992262541,2.4445902548942393,148.57142857142858,8.571428571428571
7217,SC,2020-05-16,254.0,0.0,4.933270715755441,2.684488300750177,161.42857142857142,7.142857142857143
