,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10598,SD,2020-04-13,138.0,0.0,18.75275176593199,,,
6386,SD,2020-04-14,120.0,0.0,16.30674070406802,,,
6334,SD,2020-04-15,180.0,0.0,24.460110953512185,,,
16890,SD,2020-04-16,143.0,1.0,19.432199290113232,,,
16942,SD,2020-04-17,100.0,0.0,13.588950552526683,,,
8258,SD,2020-04-18,131.0,0.0,17.801525223810046,,,
8310,SD,2020-04-19,93.0,0.0,12.637724013849834,17.568571786258854,129.28571428571428,0.14285714285714285
4566,SD,2020-04-20,50.0,0.0,6.794475276263398,15.860246573449057,116.71428571428571,0.14285714285714285
4514,SD,2020-04-21,70.0,1.0,9.512265386768718,14.8896072424063,109.57142857142857,0.2857142857142857
19282,SD,2020-04-22,103.0,1.0,13.996619069102536,13.394822687490635,98.57142857142857,0.42857142857142855
19334,SD,2020-04-23,98.0,0.0,13.317171541476199,12.521247294828202,92.14285714285714,0.2857142857142857
30618,SD,2020-04-24,84.0,1.0,11.414718464122416,12.210642710770449,89.85714285714286,0.42857142857142855
30566,SD,2020-04-25,107.0,0.0,14.540177091203645,11.744735834683821,86.42857142857143,0.42857142857142855
9402,SD,2020-04-26,65.0,1.0,8.832817859142324,11.201177812582747,82.42857142857143,0.5714285714285714
9454,SD,2020-04-27,32.0,0.0,4.348464176808591,10.851747655517775,79.85714285714286,0.5714285714285714
17774,SD,2020-04-28,69.0,0.0,9.376375881243405,10.83233486901416,79.71428571428571,0.42857142857142855
17826,SD,2020-04-29,60.0,2.0,8.153370331516044,9.997585049358946,73.57142857142857,0.5714285714285714
13562,SD,2020-04-30,76.0,4.0,10.32760241992031,9.570503746279533,70.42857142857143,1.1428571428571428
2798,SD,2020-05-01,76.0,4.0,10.327602419920368,9.415201454250669,69.28571428571429,1.5714285714285714
21310,SD,2020-05-02,63.0,0.0,8.561038848091812,8.561038848091837,63.0,1.5714285714285714
21258,SD,2020-05-03,43.0,0.0,5.843248737586521,8.133957545012436,59.857142857142854,1.4285714285714286
24378,SD,2020-05-04,37.0,0.0,5.027911704434928,8.231021477530485,60.57142857142857,1.4285714285714286
24430,SD,2020-05-05,53.0,3.0,7.202143792839081,7.920416893472724,58.285714285714285,1.8571428571428572
15070,SD,2020-05-06,59.0,5.0,8.017480825990788,7.901004106969116,58.142857142857146,2.2857142857142856
15018,SD,2020-05-07,126.0,2.0,17.122077696183737,8.871643432149606,65.28571428571429,2.0
22870,SD,2020-05-08,239.0,0.0,32.477591820538805,12.035927632237954,88.57142857142857,1.4285714285714286
22818,SD,2020-05-09,248.0,3.0,33.700597370266394,15.62729313540575,115.0,1.8571428571428572
11898,SD,2020-05-10,124.0,0.0,16.850298685133055,17.199728842198112,126.57142857142857,1.8571428571428572
11950,SD,2020-05-11,97.0,0.0,13.181282035950915,18.36449603241468,135.14285714285714,1.8571428571428572
29006,SD,2020-05-12,49.0,5.0,6.658585770738114,18.286844886400257,134.57142857142858,2.142857142857143
28954,SD,2020-05-13,69.0,0.0,9.376375881243519,18.48097275143636,136.0,1.4285714285714286
17670,SD,2020-05-14,60.0,4.0,-78.49989885770435,4.820690386595207,126.57142857142857,1.7142857142857142
17722,SD,2020-05-15,95.0,1.0,10.73860097506497,1.7151202658132303,106.0,1.8571428571428572
7218,SD,2020-05-16,72.0,0.0,8.138729160049252,-1.9365751927892185,80.85714285714286,1.4285714285714286
7166,SD,2020-05-17,28.0,0.0,3.165061340019122,-3.891609099234066,67.14285714285714,1.4285714285714286
30098,SD,2020-05-18,40.0,0.0,4.521516200027406,-5.128718504365996,59.0,1.4285714285714286
30046,SD,2020-05-19,58.0,2.0,6.556198490039662,-5.143345258751489,60.285714285714285,1.0
18502,SD,2020-05-20,92.0,0.0,10.399487260062813,-4.997186490348732,63.57142857142857,1.0
18554,SD,2020-05-21,0.0,2.0,0.0,6.217084775037604,55.0,0.7142857142857143
3630,SD,2020-05-22,179.0,2.0,20.233784995122505,7.573539635045823,67.0,0.8571428571428571
3578,SD,2020-05-23,108.0,0.0,12.20809374007382,8.15487743219219,72.14285714285714,0.8571428571428571
7842,SD,2020-05-24,99.0,0.0,11.190752595067693,9.301404754341986,82.28571428571429,0.8571428571428571
7894,SD,2020-05-25,23.0,0.0,2.5998718150157174,9.026884127911744,79.85714285714286,0.8571428571428571
29214,SD,2020-05-26,67.0,0.0,7.573539635045904,9.17221857719835,81.14285714285714,0.5714285714285714
29162,SD,2020-05-27,57.0,4.0,6.4431605850389815,8.607029052194946,76.14285714285714,1.1428571428571428
6178,SD,2020-05-28,83.0,0.0,9.382146115056685,9.947335640060187,88.0,0.8571428571428571
6126,SD,2020-05-29,73.0,5.0,8.25176706504999,8.23561879290697,72.85714285714286,1.2857142857142858
25834,SD,2020-05-30,94.0,3.0,10.625563070064231,8.0095429829056,70.85714285714286,1.7142857142857142
25886,SD,2020-05-31,33.0,0.0,3.73025086502264,6.943757021470593,61.42857142857143,1.7142857142857142
13146,SD,2020-06-01,41.0,0.0,4.6345541050279735,7.234425920043772,64.0,1.7142857142857142
25782,SD,2020-06-02,33.0,0.0,3.73025086502264,6.685384667183306,59.142857142857146,1.7142857142857142
25730,SD,2020-06-03,95.0,0.0,10.73860097506497,7.2990190086155895,64.57142857142857,1.1428571428571428
22090,SD,2020-06-04,85.0,2.0,9.608221925058047,7.331315552901499,64.85714285714286,1.4285714285714286
22142,SD,2020-06-05,30.0,0.0,3.3911371500205405,6.636939850754435,58.714285714285715,0.7142857142857143
510,SD,2020-06-06,90.0,1.0,10.173411450061508,6.572346762182617,58.142857142857146,0.42857142857142855
458,SD,2020-06-07,71.0,0.0,8.025691255048628,7.185981103614901,63.57142857142857,0.42857142857142855
23702,SD,2020-06-08,33.0,0.0,3.7302508650225263,7.056794926471265,62.42857142857143,0.42857142857142855
23546,SD,2020-06-09,52.0,3.0,5.877971060035634,7.363612097187407,65.14285714285714,0.8571428571428571
3838,SD,2020-06-10,81.0,1.0,9.156070305055323,7.1375362871860295,63.142857142857146,1.0
3890,SD,2020-06-11,61.0,4.0,6.895312205041705,6.749977755755124,59.714285714285715,1.2857142857142858
18242,SD,2020-06-12,77.0,1.0,8.703918685052713,7.5089465464740055,66.42857142857143,1.4285714285714286
18190,SD,2020-06-13,91.0,1.0,10.286449355062246,7.525094818616968,66.57142857142857,1.4285714285714286
29058,SD,2020-06-14,65.0,0.0,7.347463825044429,7.428205185759225,65.71428571428571,1.4285714285714286
29110,SD,2020-06-15,30.0,0.0,3.3911371500205405,7.37976036933037,65.28571428571429,1.4285714285714286
7998,SD,2020-06-16,38.0,2.0,4.295440390025988,7.153684559328992,63.285714285714285,1.2857142857142858
7946,SD,2020-06-17,84.0,1.0,9.495184020057422,7.202129375757863,63.714285714285715,1.2857142857142858
16474,SD,2020-06-18,59.0,0.0,6.669236395040343,7.169832831471955,63.42857142857143,0.7142857142857143
16422,SD,2020-06-19,49.0,3.0,5.538857345033534,6.717681211469214,59.42857142857143,1.0
28746,SD,2020-06-20,67.0,0.0,7.57353963504579,6.330122680038293,56.0,0.8571428571428571
28798,SD,2020-06-21,72.0,0.0,8.138729160049252,6.4431605850389815,57.0,0.8571428571428571
12210,SD,2020-06-22,29.0,0.0,3.2780992450198028,6.427012312896019,56.857142857142854,0.8571428571428571
12158,SD,2020-06-23,27.0,2.0,3.052023435018441,6.249381319323512,55.285714285714285,0.8571428571428571
7374,SD,2020-06-24,66.0,1.0,7.460501730045166,5.958712420750333,52.714285714285715,0.8571428571428571
7426,SD,2020-06-25,60.0,3.0,6.782274300041081,5.974860692893295,52.857142857142854,1.2857142857142858
17618,SD,2020-06-26,56.0,1.0,6.330122680038244,6.087898597893968,53.857142857142854,1.0
17566,SD,2020-06-27,91.0,3.0,10.286449355062246,6.47545712932489,57.285714285714285,1.4285714285714286
9142,SD,2020-06-28,55.0,0.0,6.21708477503762,6.200936502894657,54.857142857142854,1.4285714285714286
8986,SD,2020-06-29,35.0,0.0,3.956326675023888,6.297826135752383,55.714285714285715,1.4285714285714286
21050,SD,2020-06-30,48.0,0.0,5.42581944003291,6.636939850754451,58.714285714285715,1.1428571428571428
26354,SD,2020-07-01,62.0,2.0,7.008350110042329,6.572346762182617,58.142857142857146,1.2857142857142858
13718,SD,2020-07-02,67.0,4.0,7.573539635045904,6.685384667183306,59.142857142857146,1.4285714285714286
13770,SD,2020-07-03,85.0,0.0,9.608221925058047,7.153684559328992,63.285714285714285,1.2857142857142858
1654,SD,2020-07-04,50.0,0.0,5.651895250034272,6.491605401467853,57.42857142857143,0.8571428571428571
1602,SD,2020-07-05,35.0,0.0,3.956326675023888,6.168639958608749,54.57142857142857,0.8571428571428571
23182,SD,2020-07-06,42.0,0.0,4.747592010028711,6.2816778636094375,55.57142857142857,0.8571428571428571
23234,SD,2020-07-07,58.0,1.0,6.556198490039719,6.4431605850389815,57.0,1.0
15226,SD,2020-07-08,79.0,0.0,8.929994495053961,6.717681211469214,59.42857142857143,0.7142857142857143
15382,SD,2020-07-09,94.0,3.0,10.625563070064345,7.153684559328992,63.285714285714285,0.5714285714285714
19126,SD,2020-07-10,65.0,6.0,7.347463825044429,6.830719116469903,60.42857142857143,1.4285714285714286
19074,SD,2020-07-11,53.0,2.0,5.991008965036258,6.879163932898758,60.857142857142854,1.7142857142857142
4722,SD,2020-07-12,45.0,0.0,5.086705725030697,7.040646654328303,62.285714285714285,1.7142857142857142
4774,SD,2020-07-13,25.0,0.0,2.825947625017193,6.766126027898086,59.857142857142854,1.7142857142857142
9558,SD,2020-07-14,48.0,0.0,5.425819440032797,6.6046433064685255,58.42857142857143,1.5714285714285714
9506,SD,2020-07-15,80.0,2.0,9.043032400054699,6.620791578611488,58.57142857142857,1.8571428571428572
30358,SD,2020-07-16,42.0,4.0,4.747592010028711,5.781081427177826,51.142857142857146,2.0
30410,SD,2020-07-17,95.0,1.0,10.73860097506497,6.265529591466475,55.42857142857143,1.2857142857142858
7634,SD,2020-07-18,73.0,0.0,8.251767065049876,6.588495034325563,58.285714285714285,1.0
7686,SD,2020-07-19,44.0,2.0,4.973667820030187,6.572346762182633,58.142857142857146,1.2857142857142858
10806,SD,2020-07-20,37.0,0.0,4.18240248502525,6.7661260278980695,59.857142857142854,1.2857142857142858
10754,SD,2020-07-21,76.0,0.0,8.590880780051975,7.21827764790081,63.857142857142854,1.2857142857142858
