,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10599,TN,2020-04-13,102.0,3.0,1.553710630430544,,,
6387,TN,2020-04-14,217.0,15.0,3.305443209569461,,,
6335,TN,2020-04-15,0.0,0.0,2.383018227192224e-09,,,
16891,TN,2020-04-16,548.0,12.0,8.347386544469856,,,
16943,TN,2020-04-17,-112.0,5.0,-1.7060352061689912,,,
8259,TN,2020-04-18,326.0,1.0,4.965781046527667,,,
8311,TN,2020-04-19,481.0,6.0,7.3268119122080435,3.3990140199170855,223.14285714285714,6.0
4567,TN,2020-04-20,168.0,4.0,2.5590528092535294,3.542634331177512,232.57142857142858,6.142857142857143
4515,TN,2020-04-21,156.0,5.0,2.3762633228782732,3.409894347364485,223.85714285714286,4.714285714285714
19283,TN,2020-04-22,0.0,0.0,0.0,3.409894347024054,223.85714285714286,4.714285714285714
19335,TN,2020-04-23,872.0,14.0,13.282702676601701,4.114939508757175,270.14285714285717,5.0
30619,TN,2020-04-24,462.0,-2.0,7.037395225447227,5.364000998988063,352.14285714285717,4.0
30567,TN,2020-04-25,461.0,8.0,7.022162768249274,5.657769816376864,371.42857142857144,5.0
9403,TN,2020-04-26,478.0,4.0,7.281114540614226,5.65124162043489,371.0,4.714285714285714
9455,TN,2020-04-27,251.0,3.0,3.823346756682355,5.8318550414961505,382.85714285714283,4.571428571428571
17775,TN,2020-04-28,134.0,4.0,2.0411492645236535,5.783981604588348,379.7142857142857,4.428571428571429
17827,TN,2020-04-29,314.0,7.0,4.782991560152453,6.467266113181556,424.57142857142856,5.428571428571429
13563,TN,2020-04-30,369.0,4.0,5.62077670603901,5.372705260244028,352.7142857142857,4.0
2799,TN,2020-05-01,1156.0,5.0,17.60872052081598,6.88289458815385,451.85714285714283,5.0
21311,TN,2020-05-02,770.0,5.0,11.728992042411988,7.555298770177095,496.0,4.571428571428571
21259,TN,2020-05-03,516.0,1.0,7.859947914135944,7.637989252108769,501.42857142857144,4.142857142857143
24379,TN,2020-05-04,394.0,9.0,6.001588135987419,7.949166592009492,521.8571428571429,5.0
24431,TN,2020-05-05,119.0,7.0,1.8126624065546082,7.916525612299629,519.7142857142857,5.428571428571429
15071,TN,2020-05-06,248.0,13.0,3.7776493850885515,7.772905301576214,510.2857142857143,6.285714285714286
15019,TN,2020-05-07,158.0,-1.0,2.406728237274166,7.313755520324094,480.14285714285717,5.571428571428571
22871,TN,2020-05-08,345.0,4.0,5.255197733288497,5.548966550677311,364.2857142857143,5.428571428571429
22819,TN,2020-05-09,327.0,0.0,4.98101350372562,4.584969616579258,301.0,4.714285714285714
11899,TN,2020-05-10,217.0,1.0,3.305443211952422,3.9343260876958976,258.2857142857143,4.714285714285714
11951,TN,2020-05-11,559.0,8.0,8.514943573647173,4.293376864504434,281.85714285714283,4.571428571428571
29007,TN,2020-05-12,567.0,15.0,8.636803231230743,5.2682541251724535,345.85714285714283,5.714285714285714
