,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10600,TX,2020-04-13,548.0,31.0,2.601746447923297,,,
6388,TX,2020-04-14,760.0,26.0,3.1803957420766977,,,
6336,TX,2020-04-15,956.0,43.0,3.920022664870473,,,
16892,TX,2020-04-16,941.0,34.0,4.215873429124883,,,
16944,TX,2020-04-17,940.0,39.0,4.233276415416412,,,
8260,TX,2020-04-18,799.0,22.0,3.7198883198160786,,,
8312,TX,2020-04-19,558.0,20.0,2.419015094523658,3.470031159107357,786.0,30.714285714285715
4568,TX,2020-04-20,565.0,21.0,2.1362165672861977,3.4035268904449145,788.4285714285714,29.285714285714285
4516,TX,2020-04-21,938.0,32.0,3.580664429483761,3.460708131503066,813.8571428571429,30.142857142857142
19284,TX,2020-04-22,792.0,22.0,3.2500076899445673,3.3649917065136514,790.4285714285714,27.142857142857142
19336,TX,2020-04-23,1220.0,49.0,5.782142195363235,3.5887443874048444,830.2857142857143,29.285714285714285
30620,TX,2020-04-24,975.0,18.0,4.315940600301218,3.6005535566741025,835.2857142857143,26.285714285714285
30568,TX,2020-04-25,515.0,15.0,2.2232314987438855,3.3867454393780747,794.7142857142857,25.285714285714285
9404,TX,2020-04-26,764.0,21.0,3.5415077103277923,3.547101527350094,824.1428571428571,25.428571428571427
9456,TX,2020-04-27,514.0,18.0,1.5401642868010441,3.4619512015665004,816.8571428571429,25.0
17776,TX,2020-04-28,941.0,47.0,4.507373449508137,3.5943382044271255,817.2857142857143,27.142857142857142
17828,TX,2020-04-29,1036.0,39.0,3.9156719155958655,3.6894330938058824,852.1428571428571,29.571428571428573
13564,TX,2020-04-30,1348.0,44.0,6.395597462139904,3.777069560488264,870.4285714285714,28.857142857142858
2800,TX,2020-05-01,1080.0,35.0,4.198470442833354,3.760288109421426,885.4285714285714,31.285714285714285
21312,TX,2020-05-02,1156.0,35.0,5.329664551783253,4.204064259855621,977.0,34.142857142857146
21260,TX,2020-05-03,997.0,23.0,4.703157045287924,4.370014164849926,1010.2857142857143,34.42857142857143
24380,TX,2020-05-04,766.0,25.0,3.41533605971415,4.637895846694655,1046.2857142857142,35.42857142857143
24432,TX,2020-05-05,1248.0,19.0,4.911992880786386,4.695698622591548,1090.142857142857,31.428571428571427
15072,TX,2020-05-06,1088.0,29.0,4.420358518050449,4.767796708656489,1097.5714285714287,30.0
15020,TX,2020-05-07,1019.0,33.0,4.820627202755787,4.5428009573159,1050.5714285714287,28.428571428571427
22872,TX,2020-05-08,1286.0,35.0,5.264403353190005,4.69507708736685,1080.0,28.428571428571427
22820,TX,2020-05-09,1453.0,36.0,4.994657065671163,4.647218875065123,1122.4285714285713,28.571428571428573
11900,TX,2020-05-10,824.0,33.0,3.759045038972033,4.51234573130571,1097.7142857142858,30.0
11952,TX,2020-05-11,894.0,29.0,5.642918305030918,4.830571766350963,1116.0,30.571428571428573
29008,TX,2020-05-12,1329.0,37.0,3.815604744419545,4.673944889727129,1127.5714285714287,33.142857142857146
28956,TX,2020-05-13,1426.0,22.0,6.908985557740323,5.029463038254254,1175.857142857143,32.142857142857146
17672,TX,2020-05-14,1245.0,71.0,-33.768018974961905,-0.48320070141970256,1208.142857142857,37.57142857142857
17724,TX,2020-05-15,1190.0,47.0,4.27991824080118,-0.6238414317609633,1194.4285714285713,39.285714285714285
7220,TX,2020-05-16,1759.0,39.0,5.969813436604994,-0.4845333787704159,1238.142857142857,39.714285714285715
7168,TX,2020-05-17,980.0,23.0,3.255634826201714,-0.5564491234518901,1260.4285714285713,38.285714285714285
30100,TX,2020-05-18,770.0,12.0,2.6934860161689755,-0.9777965932893105,1242.7142857142858,35.857142857142854
30048,TX,2020-05-19,1340.0,35.0,4.742052845367937,-0.8454468645823974,1244.2857142857142,35.57142857142857
18504,TX,2020-05-20,1245.0,42.0,3.8660663561145157,-1.2801496076717984,1218.4285714285713,38.42857142857143
18556,TX,2020-05-21,1294.0,23.0,4.759296673896586,4.223752627879414,1225.4285714285713,31.571428571428573
3632,TX,2020-05-22,538.0,11.0,1.6761001329809062,3.8517786124765183,1132.2857142857142,26.428571428571427
3580,TX,2020-05-23,1115.0,13.0,4.266123177978301,3.608394289815562,1040.2857142857142,22.714285714285715
7844,TX,2020-05-24,1029.0,44.0,3.741910790708488,3.677862284745101,1047.2857142857142,25.714285714285715
7896,TX,2020-05-25,473.0,11.0,1.8899236067357492,3.5630676548260687,1004.8571428571429,25.571428571428573
29216,TX,2020-05-26,1034.0,14.0,2.8314366443978543,3.2901224832589144,961.1428571428571,22.571428571428573
29164,TX,2020-05-27,1370.0,34.0,4.524780605907523,3.3842245189436295,979.0,21.428571428571427
6180,TX,2020-05-28,1787.0,21.0,6.390562852703027,3.617262544487407,1049.4285714285713,21.142857142857142
6128,TX,2020-05-29,629.0,19.0,1.745075447095445,3.627116160789484,1062.4285714285713,22.285714285714285
25836,TX,2020-05-30,1791.0,39.0,6.118110361951068,3.891685758499879,1159.0,26.0
25888,TX,2020-05-31,1699.0,17.0,6.818209800212571,4.331157045571891,1254.7142857142858,22.142857142857142
13148,TX,2020-06-01,988.0,12.0,3.2452885290845757,4.524780605907438,1328.2857142857142,22.285714285714285
25784,TX,2020-06-02,1837.0,24.0,5.921530716724902,4.9662226162398735,1443.0,23.714285714285715
25732,TX,2020-06-03,1553.0,29.0,5.404215860866515,5.091856224091158,1469.142857142857,23.0
22092,TX,2020-06-04,1680.0,37.0,5.787028854201793,5.005637081448124,1453.857142857143,25.285714285714285
22144,TX,2020-06-05,1808.0,25.0,6.873390051504202,5.738253453506518,1622.2857142857142,26.142857142857142
512,TX,2020-06-06,2042.0,27.0,6.628527686397945,5.811170214141787,1658.142857142857,24.428571428571427
460,TX,2020-06-07,1045.0,10.0,3.234942231967352,5.299274847249612,1564.7142857142858,23.428571428571427
23704,TX,2020-06-08,992.0,11.0,3.63844781953685,5.355440460171366,1565.2857142857142,23.285714285714285
23548,TX,2020-06-09,1738.0,19.0,5.749092431438839,5.330806419416214,1551.142857142857,22.571428571428573
3840,TX,2020-06-10,2559.0,31.0,9.128882823046524,5.862901699727644,1694.857142857143,22.857142857142858
3892,TX,2020-06-11,1954.0,30.0,6.4871282924632965,5.962915905193573,1734.0,21.857142857142858
18244,TX,2020-06-12,2111.0,30.0,7.825249386283531,6.098895810162048,1777.2857142857142,22.571428571428573
18192,TX,2020-06-13,2141.0,19.0,6.856146222975553,6.131412743958849,1791.4285714285713,21.428571428571427
29060,TX,2020-06-14,1587.0,17.0,5.545615254801191,6.46150889007797,1868.857142857143,22.428571428571427
29112,TX,2020-06-15,1709.0,23.0,5.821516511259006,6.773375846038277,1971.2857142857142,24.142857142857142
8000,TX,2020-06-16,3276.0,51.0,11.580955239814898,7.606499104377714,2191.0,28.714285714285715
7948,TX,2020-06-17,4355.0,38.0,14.243402364632402,8.337144753175696,2447.5714285714284,29.714285714285715
16476,TX,2020-06-18,3447.0,32.0,12.277605912370802,9.164355841733911,2660.8571428571427,30.0
16424,TX,2020-06-19,4069.0,32.0,14.260646193161051,10.083698242716414,2940.5714285714284,30.285714285714285
28748,TX,2020-06-20,4615.0,30.0,14.439982009858568,11.167103355128274,3294.0,31.857142857142858
28800,TX,2020-06-21,2862.0,14.0,11.59819906834349,12.031758185634317,3476.1428571428573,31.428571428571427
12212,TX,2020-06-22,5110.0,23.0,16.71271860992948,13.587644199730098,3962.0,31.428571428571427
12160,TX,2020-06-23,5218.0,26.0,17.73355325882318,14.46658677387414,4239.428571428572,27.857142857142858
7376,TX,2020-06-24,5770.0,40.0,17.933581669755142,14.99375524603453,4441.571428571428,28.142857142857142
7428,TX,2020-06-25,5787.0,47.0,22.16176842497049,16.4057784621202,4775.857142857143,30.285714285714285
17620,TX,2020-06-26,5674.0,39.0,19.364819437629706,17.134946068472864,5005.142857142857,31.285714285714285
17568,TX,2020-06-27,5583.0,41.0,19.730388602436335,17.890718438841116,5143.428571428572,32.857142857142854
9144,TX,2020-06-28,4791.0,24.0,14.684844374964882,18.33166776835846,5419.0,34.285714285714285
8988,TX,2020-06-29,6389.0,30.0,22.6032104353028,19.173166600554648,5601.714285714285,35.285714285714285
21052,TX,2020-06-30,6303.0,29.0,21.913457294158434,19.770295748459684,5756.714285714285,35.714285714285715
26356,TX,2020-07-01,9122.0,56.0,32.10111118886164,21.794228536903468,6235.571428571428,38.0
13720,TX,2020-07-02,7310.0,45.0,23.34469506203311,21.963218056483843,6453.142857142857,37.714285714285715
13772,TX,2020-07-03,6150.0,54.0,22.258333864730616,22.3765772603554,6521.142857142857,39.857142857142854
1656,TX,2020-07-04,6477.0,36.0,22.630800560948728,22.790921825857172,6648.857142857143,39.142857142857146
