,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10601,UT,2020-04-13,60.0,-5.0,2.093596315698065,,,
6389,UT,2020-04-14,54.0,5.0,1.8842366843019391,,,
6337,UT,2020-04-15,131.0,2.0,4.5710186262795816,,,
16893,UT,2020-04-16,135.0,0.0,4.710591713127059,,,
16945,UT,2020-04-17,110.0,3.0,3.838259914399842,,,
8261,UT,2020-04-18,124.0,2.0,4.326765721687082,,,
8313,UT,2020-04-19,152.0,2.0,5.303777336261547,3.8183209016793023,109.42857142857143,1.2857142857142858
4569,UT,2020-04-20,144.0,1.0,5.024631160668889,4.237040165246563,121.42857142857143,2.142857142857143
4517,UT,2020-04-21,84.0,4.0,2.9310348437234808,4.38658275944964,125.71428571428571,2.0
19285,UT,2020-04-22,148.0,0.0,5.164204248465239,4.47132356261902,128.14285714285714,1.7142857142857142
19337,UT,2020-04-23,167.0,3.0,5.827176415497917,4.630835662957714,132.71428571428572,2.142857142857143
30621,UT,2020-04-24,170.0,4.0,5.931856231345179,4.929920851092762,141.28571428571428,2.2857142857142856
30569,UT,2020-04-25,166.0,2.0,5.792283143548815,5.139280482787295,147.28571428571428,2.2857142857142856
9405,UT,2020-04-26,175.0,0.0,6.106322591090645,5.253929804905738,150.57142857142858,2.0
9457,UT,2020-04-27,113.0,0.0,3.942939730247076,5.099402457702622,146.14285714285714,1.8571428571428572
17777,UT,2020-04-28,109.0,0.0,3.8033666424507544,5.224021286092232,149.71428571428572,1.2857142857142858
17829,UT,2020-04-29,152.0,4.0,5.303777336261561,5.243960298634564,150.28571428571428,1.8571428571428572
13565,UT,2020-04-30,175.0,1.0,6.106322591090645,5.283838323719239,151.42857142857142,1.5714285714285714
2801,UT,2020-05-01,156.0,0.0,5.443350424057911,5.214051779821058,149.42857142857142,1.0
21313,UT,2020-05-02,157.0,3.0,5.478243696007041,5.169189001600805,148.14285714285714,1.1428571428571428
21261,UT,2020-05-03,190.0,1.0,6.629721670326973,5.243960298634566,150.28571428571428,1.2857142857142858
24381,UT,2020-05-04,142.0,0.0,4.954844616770771,5.388518139566522,154.42857142857142,1.2857142857142858
24433,UT,2020-05-05,132.0,6.0,4.605911897279697,5.503167461684943,157.71428571428572,2.142857142857143
15073,UT,2020-05-06,146.0,2.0,5.094417704567093,5.473258942871447,156.85714285714286,1.8571428571428572
15021,UT,2020-05-07,129.0,3.0,4.501232081432477,5.243960298634566,150.28571428571428,2.142857142857143
22873,UT,2020-05-08,195.0,0.0,6.804188030072396,5.43836567092235,155.85714285714286,2.142857142857143
22821,UT,2020-05-09,184.0,5.0,6.420362038632419,5.572954005583118,159.71428571428572,2.4285714285714284
11901,UT,2020-05-10,148.0,1.0,5.164204248465239,5.363594373888584,153.71428571428572,2.4285714285714284
11953,UT,2020-05-11,111.0,1.0,3.873153186348901,5.20906702668546,149.28571428571428,2.5714285714285716
29009,UT,2020-05-12,70.0,5.0,2.4425290364362695,4.900012332279256,140.42857142857142,2.4285714285714284
28957,UT,2020-05-13,188.0,2.0,6.5599351264287975,5.109371963973786,146.42857142857142,2.4285714285714284
17673,UT,2020-05-14,129.0,0.0,-20.47916161284499,1.540744293362719,146.42857142857142,2.0
