,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10603,VA,2020-04-13,473.0,8.0,5.981867230954251,,,
6391,VA,2020-04-14,435.0,5.0,5.5012943890457535,,,
6339,VA,2020-04-15,318.0,41.0,4.0216358912167465,,,
16895,VA,2020-04-16,389.0,13.0,4.919548312114358,,,
16947,VA,2020-04-17,602.0,23.0,7.613285562706537,,,
8263,VA,2020-04-18,562.0,27.0,7.107419412360599,,,
8315,VA,2020-04-19,489.0,19.0,6.184213687979195,5.904180640911063,466.85714285714283,19.428571428571427
4571,VA,2020-04-20,448.0,23.0,5.665700883874649,5.859014019899691,463.2857142857143,21.571428571428573
4519,VA,2020-04-21,640.0,24.0,8.093858405535201,6.229380307969612,492.57142857142856,24.285714285714285
19287,VA,2020-04-22,636.0,25.0,8.043271790500569,6.803899722153015,538.0,22.0
19339,VA,2020-04-23,732.0,24.0,9.257350551330887,7.423585756326806,587.0,23.571428571428573
30623,VA,2020-04-24,596.0,38.0,7.537405640154645,7.412745767390821,586.1428571428571,25.714285714285715
30571,VA,2020-04-25,772.0,26.0,9.76321670167681,7.79214538015028,616.1428571428571,25.571428571428573
9407,VA,2020-04-26,604.0,12.0,7.638578870223824,7.999911834756655,632.5714285714286,24.571428571428573
9459,VA,2020-04-27,568.0,11.0,7.183299334912476,8.216711613476345,649.7142857142857,22.857142857142858
17779,VA,2020-04-28,801.0,32.0,10.12996966067763,8.507584649925263,672.7142857142857,24.0
17831,VA,2020-04-29,623.0,30.0,7.878865291638164,8.484098007230633,670.8571428571429,24.714285714285715
13567,VA,2020-04-30,885.0,30.0,11.192288576404138,8.760517725098241,692.7142857142857,25.571428571428573
2803,VA,2020-05-01,1055.0,29.0,13.342219715374398,9.589776878701063,758.2857142857143,24.285714285714285
21315,VA,2020-05-02,836.0,36.0,10.572602542230356,9.70540342735157,767.4285714285714,25.714285714285715
21263,VA,2020-05-03,934.0,43.0,11.81197461057792,10.301602818830727,814.5714285714286,30.142857142857142
24383,VA,2020-05-04,821.0,24.0,10.382902735850593,10.758689018964743,850.7142857142857,32.0
24435,VA,2020-05-05,764.0,29.0,9.662043471607603,10.691842420526168,845.4285714285714,31.571428571428573
15075,VA,2020-05-06,0.0,0.0,0.0,9.566290236006429,756.4285714285714,27.285714285714285
15023,VA,2020-05-07,1313.0,56.0,16.605056385105797,10.339542780106667,817.5714285714286,31.0
22875,VA,2020-05-08,772.0,43.0,9.76321670167681,9.828256635292727,777.1428571428571,33.0
22823,VA,2020-05-09,854.0,15.0,10.800242309886016,9.860776602100676,779.7142857142857,30.0
11903,VA,2020-05-10,885.0,12.0,11.192288576404167,9.772250025790141,772.7142857142857,25.571428571428573
11955,VA,2020-05-11,989.0,11.0,12.507540567303579,10.07576971599771,796.7142857142857,23.714285714285715
29011,VA,2020-05-12,730.0,42.0,9.232057243813586,10.014343112027136,791.8571428571429,25.571428571428573
28959,VA,2020-05-13,946.0,36.0,11.963734455681674,11.723448034267376,927.0,30.714285714285715
17675,VA,2020-05-14,1067.0,28.0,-12.39726858979651,7.580258752138475,891.8571428571429,26.714285714285715
17727,VA,2020-05-15,859.0,22.0,10.063828573283047,7.62320330522508,904.2857142857143,23.714285714285715
7223,VA,2020-05-16,1011.0,25.0,11.844622453537966,7.772400468603929,926.7142857142857,25.142857142857142
7171,VA,2020-05-17,705.0,7.0,8.259603194603642,7.353445414060998,901.0,24.428571428571427
30103,VA,2020-05-18,752.0,5.0,8.810243407577104,6.825260105528644,867.1428571428571,23.571428571428573
30051,VA,2020-05-19,1005.0,27.0,11.774327958264792,7.188441636164531,906.4285714285714,21.428571428571427
18507,VA,2020-05-20,763.0,33.0,8.939116648911522,6.756353378054508,880.2857142857143,21.0
18559,VA,2020-05-21,1229.0,25.0,14.398655781798368,10.584342573996635,903.4285714285714,20.571428571428573
3635,VA,2020-05-22,813.0,36.0,9.524904109521628,10.50735336488786,896.8571428571429,22.571428571428573
3583,VA,2020-05-23,799.0,23.0,9.360883620550794,10.152533531603979,866.5714285714286,22.285714285714285
7847,VA,2020-05-24,495.0,12.0,5.799295860040843,9.801061055237865,836.5714285714286,23.0
7899,VA,2020-05-25,1483.0,37.0,17.374456081698156,11.024520008683728,941.0,27.571428571428573
29219,VA,2020-05-26,1615.0,28.0,18.92093497770901,12.045463868604331,1028.142857142857,27.714285714285715
29167,VA,2020-05-27,907.0,45.0,10.62618453546878,12.28647356668394,1048.7142857142858,29.428571428571427
6183,VA,2020-05-28,1152.0,57.0,13.49654309245875,12.157600325349708,1037.7142857142858,34.0
6131,VA,2020-05-29,1132.0,20.0,13.262228108214572,12.691503753734414,1083.2857142857142,31.714285714285715
25839,VA,2020-05-30,1078.0,12.0,12.629577650755607,13.158460043763673,1123.142857142857,30.142857142857142
25891,VA,2020-05-31,996.0,5.0,11.668886215354917,13.996972951665684,1194.7142857142858,29.142857142857142
13151,VA,2020-06-01,791.0,17.0,9.26715762685319,12.838787458116403,1095.857142857143,26.285714285714285
25787,VA,2020-06-02,841.0,15.0,9.852945087463354,11.543360330938453,985.2857142857143,24.428571428571427
25735,VA,2020-06-03,666.0,21.0,7.802688975327669,11.140003822346866,950.8571428571429,21.0
22095,VA,2020-06-04,951.0,17.0,11.141677500805713,10.803594452110717,922.1428571428571,15.285714285714286
22147,VA,2020-06-05,676.0,9.0,7.919846467449702,10.040397074858593,857.0,13.714285714285714
515,VA,2020-06-06,865.0,7.0,10.134123068556278,9.683903563115832,826.5714285714286,13.0
463,VA,2020-06-07,1284.0,11.0,0.0,8.01691981806513,867.7142857142857,13.857142857142858
23707,VA,2020-06-08,570.0,5.0,21.720999039425692,9.7960400198612,836.1428571428571,12.142857142857142
23551,VA,2020-06-09,487.0,19.0,5.7055698663432395,9.203557845415471,785.5714285714286,12.714285714285714
3843,VA,2020-06-10,439.0,18.0,5.143213904157506,8.823632835248304,753.1428571428571,12.285714285714286
3895,VA,2020-06-11,470.0,6.0,5.506402129735648,8.018593496524009,684.4285714285714,10.714285714285714
18247,VA,2020-06-12,564.0,14.0,6.6076825556829135,7.831141509128754,668.4285714285714,11.428571428571429
18195,VA,2020-06-13,658.0,7.0,7.708962981630066,7.484690068139295,638.8571428571429,11.428571428571429
29063,VA,2020-06-14,637.0,5.0,7.462932248173843,8.550823246449843,546.4285714285714,10.571428571428571
29115,VA,2020-06-15,380.0,6.0,4.451984700637354,6.08382119805151,519.2857142857143,10.714285714285714
8003,VA,2020-06-16,445.0,18.0,5.21350839943068,6.013526702778287,513.2857142857143,10.571428571428571
7951,VA,2020-06-17,444.0,13.0,5.201792650218522,6.0218950950727175,514.0,9.857142857142858
16479,VA,2020-06-18,463.0,3.0,5.424391885250316,6.010179345860528,513.0,9.428571428571429
16427,VA,2020-06-19,555.0,16.0,6.502240812773039,5.995116239730545,511.7142857142857,9.714285714285714
28751,VA,2020-06-20,650.0,5.0,7.615236987932462,5.981726812059459,510.57142857142856,9.428571428571429
28803,VA,2020-06-21,551.0,4.0,6.45537781592418,5.837790464595222,498.2857142857143,9.285714285714286
12215,VA,2020-06-22,471.0,9.0,5.518117878948033,5.99009520435389,511.2857142857143,9.714285714285714
12163,VA,2020-06-23,529.0,25.0,6.197631333255686,6.1306841949003195,523.2857142857143,10.714285714285714
7379,VA,2020-06-24,520.0,16.0,6.092189590346038,6.257883757775679,534.1428571428571,11.142857142857142
7431,VA,2020-06-25,432.0,14.0,5.061203659671946,6.205999725550198,529.7142857142857,12.714285714285714
17623,VA,2020-06-26,624.0,25.0,7.310627508415109,6.321483539213351,539.5714285714286,14.0
