,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10602,VT,2020-04-13,21.0,1.0,3.43929076393772,,,
6390,VT,2020-04-14,4.0,1.0,0.655103036062286,,,
6338,VT,2020-04-15,7.0,0.0,1.1464302325250344,,,
16894,VT,2020-04-16,15.0,4.0,2.456636275346355,,,
16946,VT,2020-04-17,5.0,2.0,0.8188787584487613,,,
8262,VT,2020-04-18,24.0,3.0,3.930618040554151,,,
8314,VT,2020-04-19,10.0,0.0,1.6377575168975795,2.0121020891102694,12.285714285714286,1.5714285714285714
4570,VT,2020-04-20,3.0,0.0,0.49132725506927954,1.5909644449862068,9.714285714285714,1.4285714285714286
4518,VT,2020-04-21,2.0,2.0,0.3275515033795102,1.5441713688886674,9.428571428571429,1.5714285714285714
19286,VT,2020-04-22,5.0,0.0,0.8188787584487613,1.4973783011634854,9.142857142857142,1.5714285714285714
19338,VT,2020-04-23,2.0,3.0,0.32755150337953864,1.1932233337396545,7.285714285714286,1.4285714285714286
30622,VT,2020-04-24,2.0,1.0,0.3275515033795102,1.1230337258726186,6.857142857142857,1.2857142857142858
30570,VT,2020-04-25,16.0,2.0,2.620412027036082,0.9358614382271802,5.714285714285714,1.1428571428571428
9406,VT,2020-04-26,8.0,0.0,1.3102060135180693,0.8890683663158215,5.428571428571429,1.1428571428571428
9458,VT,2020-04-27,4.0,1.0,0.6551030067590204,0.9124649022714989,5.571428571428571,1.2857142857142858
17778,VT,2020-04-28,7.0,0.0,1.1464302618283,1.0294475820498974,6.285714285714286,1.0
17830,VT,2020-04-29,0.0,0.0,0.0,0.9124649022715029,5.571428571428571,1.0
13566,VT,2020-04-30,4.0,2.0,0.6551030067590204,0.9592579741828574,5.857142857142857,0.8571428571428571
2802,VT,2020-05-01,13.0,1.0,2.1290847719668307,1.2166198696953319,7.428571428571429,0.8571428571428571
21314,VT,2020-05-02,7.0,1.0,1.1464302618283,1.00605104609422,6.142857142857143,0.7142857142857143
21262,VT,2020-05-03,11.0,2.0,1.8015332685873204,1.076240653961256,6.571428571428571,1.0
24382,VT,2020-05-04,5.0,-1.0,0.8188787584487613,1.0996371899169333,6.714285714285714,0.7142857142857143
24434,VT,2020-05-05,5.0,0.0,0.8188787584487898,1.0528441180055748,6.428571428571429,0.7142857142857143
15074,VT,2020-05-06,1.0,0.0,0.16377575168976932,1.076240653961256,6.571428571428571,0.7142857142857143
15022,VT,2020-05-07,8.0,1.0,1.310206013518041,1.1698267977839731,7.142857142857143,0.5714285714285714
22874,VT,2020-05-08,3.0,0.0,0.49132725506927954,0.9358614382271802,5.714285714285714,0.42857142857142855
22822,VT,2020-05-09,2.0,0.0,0.3275515033795102,0.8188787584487817,5.0,0.2857142857142857
11902,VT,2020-05-10,6.0,0.0,0.9826545101385307,0.7018960786703831,4.285714285714286,0.0
11954,VT,2020-05-11,-1.0,0.0,-0.16377575168976932,0.5615168629363073,3.4285714285714284,0.14285714285714285
29010,VT,2020-05-12,1.0,0.0,0.16377575168976932,0.4679307191135901,2.857142857142857,0.14285714285714285
28958,VT,2020-05-13,2.0,0.0,0.3275515033795102,0.4913272550692674,3.0,0.14285714285714285
17674,VT,2020-05-14,3.0,0.0,-2.786065983756856,-0.0938544588271465,2.2857142857142856,0.0
17726,VT,2020-05-15,1.0,0.0,0.16025923533908326,-0.14114989021717456,2.0,0.0
7222,VT,2020-05-16,1.0,0.0,0.16025923533908326,-0.16504878565152126,1.8571428571428572,0.0
7170,VT,2020-05-17,6.0,1.0,0.9615554120344996,-0.1680629425235257,1.8571428571428572,0.14285714285714285
30102,VT,2020-05-18,0.0,0.0,0.0,-0.14466640656784438,2.0,0.14285714285714285
30050,VT,2020-05-19,4.0,0.0,0.641036941356333,-0.07648623661547813,2.4285714285714284,0.14285714285714285
18506,VT,2020-05-20,0.0,0.0,0.0,-0.12327930852683673,2.142857142857143,0.14285714285714285
18558,VT,2020-05-21,6.0,0.0,0.961555412034528,0.41209517658621814,2.5714285714285716,0.14285714285714285
3634,VT,2020-05-22,2.0,0.0,0.3205184706781665,0.43498935306323006,2.7142857142857144,0.14285714285714285
3582,VT,2020-05-23,2.0,0.0,0.32051847067819494,0.457883529540246,2.857142857142857,0.14285714285714285
7846,VT,2020-05-24,2.0,0.0,0.3205184706781381,0.36630682363219436,2.2857142857142856,0.0
7898,VT,2020-05-25,6.0,0.0,0.9615554120344996,0.5036718824942658,3.142857142857143,0.0
29218,VT,2020-05-26,5.0,0.0,0.8012961766954163,0.5265660589712776,3.2857142857142856,0.0
29166,VT,2020-05-27,4.0,0.0,0.641036941356333,0.6181427648793252,3.857142857142857,0.0
6182,VT,2020-05-28,3.0,1.0,0.4807777060172782,0.5494602354482895,3.4285714285714284,0.14285714285714285
6130,VT,2020-05-29,1.0,0.0,0.16025923533908326,0.5265660589712776,3.2857142857142856,0.14285714285714285
25838,VT,2020-05-30,2.0,0.0,0.3205184706781665,0.5265660589712736,3.2857142857142856,0.14285714285714285
25890,VT,2020-05-31,4.0,0.0,0.641036941356333,0.5723544119253015,3.5714285714285716,0.14285714285714285
13150,VT,2020-06-01,2.0,0.0,0.3205184706781665,0.48077770601725384,3.0,0.14285714285714285
25786,VT,2020-06-02,5.0,0.0,0.8012961766954163,0.48077770601725384,3.0,0.14285714285714285
25734,VT,2020-06-03,2.0,0.0,0.3205184706781665,0.43498935306323006,2.7142857142857144,0.14285714285714285
22094,VT,2020-06-04,36.0,0.0,5.769332472207054,1.1904971768046266,7.428571428571429,0.0
22146,VT,2020-06-05,1.0,0.0,0.16025923533908326,1.1904971768046266,7.428571428571429,0.0
514,VT,2020-06-06,19.0,0.0,3.0449254714426104,1.579698176913833,9.857142857142858,0.0
462,VT,2020-06-07,17.0,0.0,2.724407000764387,1.8773224711149834,11.714285714285714,0.0
23706,VT,2020-06-08,12.0,0.0,1.923110824069056,2.1062642358851105,13.142857142857142,0.0
23550,VT,2020-06-09,9.0,0.0,1.4423331180517494,2.197840941793158,13.714285714285714,0.0
3842,VT,2020-06-10,11.0,0.0,1.7628515887299443,2.4038885300862693,15.0,0.0
3894,VT,2020-06-11,15.0,0.0,2.403888530086249,1.9231108240690113,12.0,0.0
18246,VT,2020-06-12,9.0,0.0,1.4423331180517778,2.1062642358851105,13.142857142857142,0.0
18194,VT,2020-06-13,6.0,0.0,0.961555412034528,1.8086399416839558,11.285714285714286,0.0
29062,VT,2020-06-14,2.0,0.0,0.3205184706781381,1.4652272945287774,9.142857142857142,0.0
29114,VT,2020-06-15,1.0,0.0,0.16025923533908326,1.2133913532816385,7.571428571428571,0.0
8002,VT,2020-06-16,3.0,0.0,0.4807777060172498,1.076026294419567,6.714285714285714,0.0
7950,VT,2020-06-17,-1.0,0.0,-0.16025923533908326,0.8012961766954204,5.0,0.0
16478,VT,2020-06-18,5.0,1.0,0.8012961766953879,0.5723544119252973,3.5714285714285716,0.14285714285714285
16426,VT,2020-06-19,9.0,0.0,1.4423331180518062,0.5723544119253015,3.5714285714285716,0.14285714285714285
28750,VT,2020-06-20,3.0,0.0,0.4807777060172498,0.5036718824942616,3.142857142857143,0.14285714285714285
28802,VT,2020-06-21,12.0,0.0,1.9231108240689707,0.7326136472643806,4.571428571428571,0.14285714285714285
12214,VT,2020-06-22,4.0,0.0,0.6410369413563899,0.8012961766954244,5.0,0.14285714285714285
12162,VT,2020-06-23,1.0,0.0,0.16025923533911168,0.7555078237414047,4.714285714285714,0.14285714285714285
7378,VT,2020-06-24,20.0,0.0,3.2051847067816936,1.2362855297586586,7.714285714285714,0.14285714285714285
7430,VT,2020-06-25,7.0,0.0,1.1218146473735544,1.2820738827126823,8.0,0.0
