,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10604,WA,2020-04-13,26.0,20.0,0.3443981077597016,,,
6392,WA,2020-04-14,164.0,17.0,2.172357192240298,,,
6340,WA,2020-04-15,143.0,10.0,1.8941895267519158,,,
16896,WA,2020-04-16,115.0,21.0,1.5232992595573478,,,
16948,WA,2020-04-17,460.0,19.0,6.093197038229391,,,
8264,WA,2020-04-18,259.0,17.0,3.4307348541335045,,,
8316,WA,2020-04-19,479.0,24.0,6.344872568069292,3.1147212209630646,235.14285714285714,18.285714285714285
4572,WA,2020-04-20,-141.0,19.0,-1.8676973530224927,2.7987075837084654,211.28571428571428,18.142857142857142
4520,WA,2020-04-21,278.0,16.0,5.947490152532595,3.3380122923216504,227.57142857142858,18.0
19288,WA,2020-04-22,204.0,9.0,-6.781993225159653,2.0985576134771406,236.28571428571428,17.857142857142858
19340,WA,2020-04-23,157.0,13.0,9.298748523558743,3.2093360797630544,242.28571428571428,16.714285714285715
30624,WA,2020-04-24,224.0,15.0,2.967122036007339,2.7627539365884752,208.57142857142858,16.142857142857142
30572,WA,2020-04-25,342.0,17.0,4.530159537118379,2.9198146055863146,220.42857142857142,16.142857142857142
9408,WA,2020-04-26,202.0,20.0,2.6757082646137746,2.3956482765212406,180.85714285714286,15.571428571428571
9460,WA,2020-04-27,165.0,11.0,2.1856032854518617,2.97469122487472,224.57142857142858,14.428571428571429
17780,WA,2020-04-28,156.0,10.0,2.066388560790813,2.42024814034018,207.14285714285714,13.571428571428571
17832,WA,2020-04-29,228.0,8.0,3.020106358078891,3.820548080802829,210.57142857142858,13.428571428571429
13568,WA,2020-04-30,257.0,8.0,3.404242693097757,2.9784758193084024,224.85714285714286,12.714285714285714
2804,WA,2020-05-01,310.0,14.0,4.10628496054585,3.1412133799567608,237.14285714285714,12.571428571428571
21316,WA,2020-05-02,366.0,12.0,4.848065469547748,3.1866285131609566,240.57142857142858,11.857142857142858
21264,WA,2020-05-03,182.0,12.0,2.4107866542559577,3.1487825688241253,237.71428571428572,10.714285714285714
24384,WA,2020-05-04,277.0,11.0,3.669164303455517,3.360719857110362,253.71428571428572,10.714285714285714
24436,WA,2020-05-05,132.0,13.0,1.7484826283614723,3.3153047239061704,250.28571428571428,11.142857142857142
15076,WA,2020-05-06,311.0,13.0,4.119531041063766,3.4723653929040097,262.14285714285717,11.857142857142858
15024,WA,2020-05-07,326.0,14.0,4.318222248832143,3.602933900866065,272.0,12.714285714285714
22876,WA,2020-05-08,157.0,16.0,2.079634641308729,3.3134124266893332,250.14285714285714,13.0
22824,WA,2020-05-09,286.0,11.0,3.788379028116566,3.1620286493420218,238.71428571428572,12.857142857142858
11904,WA,2020-05-10,217.0,16.0,2.8743994723820663,3.228259051931466,243.71428571428572,13.428571428571429
11956,WA,2020-05-11,231.0,6.0,3.0598445996325836,3.1412133799567608,237.14285714285714,12.714285714285714
29012,WA,2020-05-12,208.0,16.0,2.7551847477210742,3.285027968436704,248.0,13.142857142857142
28960,WA,2020-05-13,182.0,6.0,2.410786654255986,3.040921627464164,229.57142857142858,12.142857142857142
17676,WA,2020-05-14,261.0,8.0,1.4325333843432873,2.6286803611086134,220.28571428571428,11.285714285714286
17728,WA,2020-05-15,178.0,12.0,2.337524637575399,2.665521789146709,223.28571428571428,10.714285714285714
7224,WA,2020-05-16,337.0,8.0,4.425538218330814,2.756544530605887,230.57142857142858,10.285714285714286
7172,WA,2020-05-17,145.0,11.0,1.9041633283619035,2.6179393671744355,220.28571428571428,9.571428571428571
30104,WA,2020-05-18,178.0,6.0,2.3375246375753704,2.514750801166262,212.71428571428572,9.571428571428571
30052,WA,2020-05-19,200.0,7.0,2.626432177050958,2.496357576784817,211.57142857142858,8.285714285714286
18508,WA,2020-05-20,160.0,4.0,2.101145741640721,2.452123160696922,208.42857142857142,8.0
18560,WA,2020-05-21,146.0,9.0,1.917295489247124,2.521374889968899,192.0,8.142857142857142
3636,WA,2020-05-22,148.0,5.0,1.9435598110177636,2.465094200460665,187.71428571428572,7.142857142857143
3584,WA,2020-05-23,0.0,9.0,0.0,1.8328744549848344,139.57142857142858,7.285714285714286
7848,WA,2020-05-24,563.0,9.0,7.393406578398384,2.617052062132903,199.28571428571428,7.0
7900,WA,2020-05-25,237.0,4.0,3.1123221298054204,2.727737418165767,207.71428571428572,6.714285714285714
29220,WA,2020-05-26,116.0,6.0,1.5233306626895455,2.5701514875427085,195.71428571428572,6.571428571428571
29168,WA,2020-05-27,225.0,11.0,2.954736199182321,2.6920929814772228,205.0,7.571428571428571
6184,WA,2020-05-28,358.0,4.0,4.701313596921182,3.089809854002088,235.28571428571428,6.857142857142857
6132,WA,2020-05-29,307.0,6.0,4.031573391773179,3.388097508395719,258.0,7.0
25840,WA,2020-05-30,278.0,2.0,3.650740726100821,3.9096318978386932,297.7142857142857,6.0
25892,WA,2020-05-31,353.0,6.0,4.635652792494909,3.515667071281054,267.7142857142857,5.571428571428571
13152,WA,2020-06-01,537.0,5.0,3.6113442434450462,3.5869559446581434,310.57142857142856,5.714285714285714
25788,WA,2020-06-02,277.0,6.0,2.363788959345868,3.7070214156090464,333.57142857142856,5.714285714285714
25736,WA,2020-06-03,248.0,5.0,4.294216609478269,3.898375759937039,336.85714285714283,4.857142857142857
22096,WA,2020-06-04,260.0,11.0,3.217379416887411,3.6863851627893576,322.85714285714283,5.857142857142857
22148,WA,2020-06-05,459.0,5.0,3.4668904737072808,3.6057161744942294,344.57142857142856,5.714285714285714
516,WA,2020-06-06,284.0,4.0,5.8963402374793645,3.926516104691164,345.42857142857144,6.0
464,WA,2020-06-07,311.0,11.0,3.768930174068089,3.802698587773047,339.42857142857144,6.714285714285714
23708,WA,2020-06-08,300.0,10.0,4.097234196199452,3.8721114381665336,305.57142857142856,7.428571428571429
23552,WA,2020-06-09,252.0,5.0,4.110366357084729,4.1216224949863705,302.0,7.285714285714286
3844,WA,2020-06-10,262.0,1.0,0.0,3.508162979346618,304.0,6.714285714285714
3896,WA,2020-06-11,284.0,12.0,5.581168376233279,3.8458471163960275,307.42857142857144,6.857142857142857
18248,WA,2020-06-12,366.0,5.0,5.147807067019869,4.085978058297826,294.14285714285717,6.857142857142857
18196,WA,2020-06-13,283.0,4.0,4.8195030448884495,3.932144173641981,294.0,6.857142857142857
29064,WA,2020-06-14,333.0,2.0,3.8871196220354136,3.949028380494456,297.14285714285717,5.571428571428571
29116,WA,2020-06-15,372.0,2.0,4.254820126822551,3.9715406562977558,307.42857142857144,4.428571428571429
8004,WA,2020-06-16,257.0,8.0,4.898296010199999,4.084102035314223,308.14285714285717,4.857142857142857
7952,WA,2020-06-17,406.0,6.0,3.3224367039694584,4.558735850167003,328.7142857142857,5.571428571428571
16480,WA,2020-06-18,415.0,7.0,5.357921641183907,4.526843459445664,347.42857142857144,4.857142857142857
16428,WA,2020-06-19,617.0,7.0,5.371053802069241,4.558735850167003,383.2857142857143,5.142857142857143
28752,WA,2020-06-20,451.0,4.0,8.194468392398903,5.040873756954211,407.2857142857143,5.142857142857143
28804,WA,2020-06-21,198.0,5.0,5.975133202790914,5.339161411347853,388.0,5.571428571428571
12216,WA,2020-06-22,520.0,5.0,2.495110568198413,5.087774331544405,409.14285714285717,6.0
12164,WA,2020-06-23,480.0,10.0,6.776195016791405,5.35604561820032,441.0,6.285714285714286
7380,WA,2020-06-24,498.0,3.0,6.342833707577995,5.7875309044301115,454.14285714285717,5.857142857142857
7432,WA,2020-06-25,494.0,4.0,6.5398161208568695,5.95637297295482,465.42857142857144,5.428571428571429
17624,WA,2020-06-26,556.0,11.0,6.408494512004324,6.104578788659832,456.7142857142857,6.0
17572,WA,2020-06-27,344.0,7.0,7.209556326004758,5.96387706488924,441.42857142857144,6.428571428571429
9148,WA,2020-06-28,501.0,4.0,4.56999198806875,5.763142605643217,484.7142857142857,6.285714285714286
8992,WA,2020-06-29,564.0,5.0,6.5792126035125875,6.3465857535452415,491.0,6.285714285714286
21056,WA,2020-06-30,608.0,6.0,7.49846386548046,6.449767017643678,509.2857142857143,5.714285714285714
26360,WA,2020-07-01,713.0,6.0,8.02375030089064,6.689897959545484,540.0,6.142857142857143
13724,WA,2020-07-02,757.0,10.0,9.402627193842363,7.098870969971983,577.5714285714286,7.0
13776,WA,2020-07-03,351.0,9.0,8.233864875054735,7.359638164693471,548.2857142857143,6.714285714285714
1660,WA,2020-07-04,642.0,7.0,6.158983455184455,7.209556326004856,590.8571428571429,6.714285714285714
1608,WA,2020-07-05,1057.0,7.0,8.54903673630082,7.777991290038009,670.2857142857143,7.142857142857143
23188,WA,2020-07-06,434.0,9.0,14.274658882271922,8.877340758432199,651.7142857142857,7.714285714285714
23240,WA,2020-07-07,523.0,9.0,5.712489985085767,8.622201632661529,639.5714285714286,8.142857142857142
15232,WA,2020-07-08,647.0,8.0,6.8418558212177345,8.453359564136829,630.1428571428571,8.428571428571429
15388,WA,2020-07-09,639.0,16.0,8.404582966562998,8.310781817382633,613.2857142857143,9.285714285714286
19132,WA,2020-07-10,604.0,9.0,8.365186483907223,8.329542047218704,649.4285714285714,9.285714285714286
19080,WA,2020-07-11,866.0,7.0,0.0,7.449687267906638,681.4285714285714,9.285714285714286
4728,WA,2020-07-12,1077.0,5.0,18.884047352996276,8.926117356005989,684.2857142857143,9.0
4780,WA,2020-07-13,546.0,9.0,0.0,6.886880372824286,700.2857142857143,9.0
9564,WA,2020-07-14,742.0,12.0,21.641801138899837,9.162496251940581,731.5714285714286,9.428571428571429
9512,WA,2020-07-15,1262.0,3.0,9.744063376859003,9.577097331317905,819.4285714285714,8.714285714285714
30364,WA,2020-07-16,753.0,6.0,16.638447841617676,10.753363742040003,835.7142857142857,7.285714285714286
30416,WA,2020-07-17,970.0,6.0,9.901649307482103,10.972858431122129,888.0,6.857142857142857
7640,WA,2020-07-18,934.0,7.0,12.593742288959334,12.771964472402033,897.7142857142857,6.857142857142857
7692,WA,2020-07-19,795.0,9.0,12.08158801443426,11.800184566893174,857.4285714285714,7.428571428571429
10812,WA,2020-07-20,839.0,11.0,10.466332225548058,13.29537488482861,899.2857142857143,7.714285714285714
10760,WA,2020-07-21,660.0,12.0,10.925957856531909,11.76454013020462,887.5714285714286,7.714285714285714
27348,WA,2020-07-22,732.0,8.0,8.824812114891188,11.633218521352076,811.8571428571429,8.428571428571429
27400,WA,2020-07-23,850.0,9.0,10.006706594564093,10.685826914630136,825.7142857142857,8.857142857142858
16740,WA,2020-07-24,1038.0,13.0,10.702711121482594,10.800264316630205,835.4285714285714,9.857142857142858
16688,WA,2020-07-25,799.0,12.0,13.460464907386154,10.924081833548323,816.1428571428571,10.571428571428571
6444,WA,2020-07-26,670.0,15.0,10.321878455810179,10.672694753744882,798.2857142857143,11.428571428571429
6496,WA,2020-07-27,862.0,8.0,9.008662367284728,10.464456202564406,801.5714285714286,11.0
29272,WA,2020-07-28,778.0,14.0,11.608830222565189,10.562009397712018,818.4285714285714,11.285714285714286
29376,WA,2020-07-29,772.0,16.0,10.243085490498629,10.764619879941652,824.1428571428571,12.428571428571429
2128,WA,2020-07-30,985.0,13.0,10.742107604138369,10.869677167023692,843.4285714285714,13.0
2076,WA,2020-07-31,850.0,15.0,0.0,9.340718435383321,816.5714285714286,13.285714285714286
16532,WA,2020-08-01,630.0,16.0,22.823695618572742,10.67832282269569,792.4285714285714,13.857142857142858
5976,WA,2020-08-02,551.0,9.0,8.299525679481008,10.389415283220094,775.4285714285714,13.0
5924,WA,2020-08-03,680.0,10.0,7.117631199808102,10.119267973580577,749.4285714285714,13.285714285714286
10968,WA,2020-08-04,685.0,18.0,8.719754827809084,9.706542917186848,736.1428571428571,13.857142857142858
11020,WA,2020-08-05,831.0,21.0,9.258173424104598,9.565841193416272,744.5714285714286,14.571428571428571
27764,WA,2020-08-06,723.0,8.0,10.93909001741713,9.59398153817038,707.1428571428571,13.857142857142858
27712,WA,2020-08-07,897.0,17.0,8.798547793120747,10.85091693718763,713.8571428571429,14.142857142857142
3948,WA,2020-08-08,606.0,9.0,12.291702588598355,9.346346504334146,710.4285714285714,13.142857142857142
3792,WA,2020-08-09,580.0,11.0,7.209556326004872,9.190636596694699,714.5714285714286,13.428571428571429
23604,WA,2020-08-10,491.0,11.0,7.550992509021512,9.252545355153757,687.5714285714286,13.571428571428571
23656,WA,2020-08-11,540.0,8.0,6.618609086168249,8.952381677776495,666.8571428571429,12.142857142857142
14348,WA,2020-08-12,639.0,14.0,7.2358206477754266,8.663474138300899,639.4285714285714,11.142857142857142
