,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10606,WI,2020-04-13,87.0,10.0,1.6812987971330386,,,
6394,WI,2020-04-14,127.0,16.0,2.4543097428669682,,,
6342,WI,2020-04-15,166.0,13.0,3.2079954028156408,,,
16898,WI,2020-04-16,154.0,14.0,2.9760921243519505,,,
16950,WI,2020-04-17,178.0,9.0,3.4398986891860233,,,
8266,WI,2020-04-18,146.0,6.0,2.821489936073931,,,
8318,WI,2020-04-19,147.0,8.0,2.840815209608678,2.7745571288623188,143.57142857142858,10.857142857142858
4574,WI,2020-04-20,153.0,10.0,2.9567668508172034,2.9567668508171994,153.0,10.857142857142858
4522,WI,2020-04-21,126.0,14.0,2.434984465378861,2.954006096890327,152.85714285714286,10.571428571428571
19290,WI,2020-04-22,220.0,4.0,4.2515601776456435,3.1030867790088985,160.57142857142858,9.285714285714286
19342,WI,2020-04-23,207.0,10.0,4.00033162169386,3.2494067072006,168.14285714285714,8.714285714285714
30626,WI,2020-04-24,304.0,5.0,5.874883154564898,3.5972616308261536,186.14285714285714,8.142857142857142
30574,WI,2020-04-25,331.0,3.0,6.396665540003212,4.108001002816051,212.57142857142858,7.714285714285714
9410,WI,2020-04-26,225.0,6.0,4.3481865453194075,4.323339765060441,223.71428571428572,7.428571428571429
9462,WI,2020-04-27,169.0,9.0,3.2659712273732424,4.367511818854161,226.0,7.285714285714286
17782,WI,2020-04-28,208.0,19.0,4.019656895228621,4.593893594546984,237.71428571428572,8.0
17834,WI,2020-04-29,231.0,8.0,4.464138186527919,4.624261881530166,239.28571428571428,8.571428571428571
13570,WI,2020-04-30,334.0,8.0,6.454641360607482,4.974877558517826,257.42857142857144,8.285714285714286
2806,WI,2020-05-01,460.0,11.0,8.889625825986343,5.405555083006604,279.7142857142857,9.142857142857142
21318,WI,2020-05-02,346.0,7.0,6.686544643024519,5.446966383438219,281.85714285714283,9.714285714285714
21266,WI,2020-05-03,304.0,5.0,5.874883154564884,5.665065899044715,293.14285714285717,9.571428571428571
24386,WI,2020-05-04,272.0,1.0,5.256474401452806,5.949423495341796,307.85714285714283,8.428571428571429
24438,WI,2020-05-05,330.0,13.0,6.377340266468451,6.286235405518915,325.2857142857143,7.571428571428571
15078,WI,2020-05-06,335.0,9.0,6.4739666341422435,6.573353755178104,340.14285714285717,7.714285714285714
15026,WI,2020-05-07,314.0,12.0,6.068135889912412,6.518138687935951,337.2857142857143,8.285714285714286
22878,WI,2020-05-08,375.0,10.0,7.246977575532355,6.28347465215681,325.14285714285717,8.142857142857142
22826,WI,2020-05-09,349.0,14.0,6.744520463628675,6.291756912243118,325.57142857142856,9.142857142857142
11906,WI,2020-05-10,280.0,2.0,5.411076589730925,6.225498831552552,322.14285714285717,8.714285714285714
11958,WI,2020-05-11,199.0,9.0,3.845729433415812,6.023963836118696,311.7142857142857,9.857142857142858
29014,WI,2020-05-12,193.0,9.0,3.7297777922073294,5.645740625509965,292.14285714285717,9.285714285714286
28962,WI,2020-05-13,291.0,3.0,5.623654598613115,5.524267477577232,285.85714285714283,8.428571428571429
17678,WI,2020-05-14,373.0,13.0,-17.036595667563375,2.2235915407949767,294.2857142857143,8.571428571428571
17730,WI,2020-05-15,410.0,11.0,7.0417285966659335,2.1942702580997735,299.2857142857143,8.714285714285714
7226,WI,2020-05-16,502.0,8.0,8.621823793966598,2.4624564481480484,321.14285714285717,7.857142857142857
7174,WI,2020-05-17,356.0,0.0,6.114281415641642,2.562914280421008,332.0,7.571428571428571
30106,WI,2020-05-18,144.0,6.0,2.4731924827314344,2.3668375731803826,324.14285714285717,7.142857142857143
30054,WI,2020-05-19,198.0,8.0,3.4006396637557543,2.319817840544443,324.85714285714283,7.0
18510,WI,2020-05-20,528.0,14.0,9.068372436681955,2.8119203888399915,358.7142857142857,8.571428571428571
18562,WI,2020-05-21,472.0,6.0,8.106575360064198,6.40380196421536,372.85714285714283,7.571428571428571
