,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10605,WV,2020-04-13,18.0,2.0,1.3605462770407044,,,
6393,WV,2020-04-14,29.0,1.0,2.1919912229592953,,,
6341,WV,2020-04-15,62.0,1.0,4.6863260534084645,,,
16897,WV,2020-04-16,26.0,2.0,1.9652335075336538,,,
16949,WV,2020-04-17,47.0,4.0,3.5525374943877424,,,
8265,WV,2020-04-18,10.0,0.0,0.7558590413590949,,,
8317,WV,2020-04-19,105.0,2.0,7.936519934270493,3.2070019329942068,42.42857142857143,1.7142857142857142
4573,WV,2020-04-20,12.0,6.0,0.9070308496309138,3.1422140147928084,41.57142857142857,2.2857142857142856
4521,WV,2020-04-21,6.0,2.0,0.45351542481546403,2.8938603293436893,38.285714285714285,2.4285714285714284
19289,WV,2020-04-22,31.0,1.0,2.3431630282131977,2.559122754315794,33.857142857142854,2.4285714285714284
19341,WV,2020-04-23,42.0,4.0,3.1746079737081914,2.731890535197871,36.142857142857146,2.7142857142857144
30625,WV,2020-04-24,29.0,1.0,2.191991219941386,2.5375267817055343,33.57142857142857,2.2857142857142856
30573,WV,2020-04-25,0.0,0.0,0.0,2.429546918654235,32.142857142857146,2.2857142857142856
9409,WV,2020-04-26,45.0,2.0,3.4013656861159234,1.7816677403464394,23.571428571428573,2.2857142857142856
9461,WV,2020-04-27,8.0,0.0,0.6046872330872759,1.7384757951259198,23.0,1.4285714285714286
17781,WV,2020-04-28,32.0,4.0,2.4187489323491036,2.0192234390592967,26.714285714285715,1.7142857142857142
17833,WV,2020-04-29,15.0,0.0,1.1337885620386459,1.846455658177218,24.428571428571427,1.5714285714285714
13569,WV,2020-04-30,15.0,3.0,1.1337885620386317,1.5549100279387094,20.571428571428573,1.4285714285714286
2805,WV,2020-05-01,27.0,5.0,2.0408194116695597,1.5333140553284486,20.285714285714285,2.0
21317,WV,2020-05-02,33.0,2.0,2.4943348364850237,1.8896476033977376,25.0,2.2857142857142856
21265,WV,2020-05-03,10.0,0.0,0.7558590413590878,1.5117180827181897,20.0,2.0
24385,WV,2020-05-04,29.0,0.0,2.191991219941386,1.7384757951259198,23.0,2.0
24437,WV,2020-05-05,22.0,0.0,1.6628898909900016,1.6304959320746195,21.571428571428573,1.4285714285714286
15077,WV,2020-05-06,-4.0,2.0,-0.30234361654363795,1.4253341922771503,18.857142857142858,1.7142857142857142
15025,WV,2020-05-07,45.0,1.0,3.401365686115909,1.749273781431047,23.142857142857142,1.4285714285714286
22877,WV,2020-05-08,36.0,1.0,2.72109254889277,1.84645565817722,24.428571428571427,0.8571428571428571
22825,WV,2020-05-09,0.0,0.0,0.0,1.490122110107931,19.714285714285715,0.5714285714285714
11905,WV,2020-05-10,37.0,2.0,2.7966784530286333,1.7816677403464374,23.571428571428573,0.8571428571428571
11957,WV,2020-05-11,6.0,0.0,0.45351542481546403,1.5333140553284486,20.285714285714285,0.8571428571428571
29013,WV,2020-05-12,12.0,4.0,0.9070308496309138,1.4253341922771503,18.857142857142858,1.4285714285714286
28961,WV,2020-05-13,20.0,0.0,1.5117180827181897,1.6844858636002686,22.285714285714285,1.1428571428571428
17677,WV,2020-05-14,29.0,2.0,-26.043929305219947,-2.521984849447711,20.0,1.2857142857142858
17729,WV,2020-05-15,20.0,4.0,1.1159798833466255,-2.7512866588114457,17.714285714285715,1.7142857142857142
7225,WV,2020-05-16,23.0,0.0,1.2833768658486093,-2.5679471065473587,21.0,1.7142857142857142
7173,WV,2020-05-17,22.0,3.0,1.2275778716812908,-2.792104332454122,18.857142857142858,1.8571428571428572
30105,WV,2020-05-18,10.0,1.0,0.5579899416733127,-2.7771794014744295,19.428571428571427,2.0
30053,WV,2020-05-19,0.0,0.0,0.0,-2.9067552371359886,17.714285714285715,1.4285714285714286
18509,WV,2020-05-20,65.0,1.0,3.6269346208765256,-2.604581445970512,24.142857142857142,1.5714285714285714
18561,WV,2020-05-21,26.0,1.0,1.4507738483506074,1.323233290253853,23.714285714285715,1.4285714285714286
3637,WV,2020-05-22,112.0,2.0,6.249487346741091,2.0565914993102052,36.857142857142854,1.1428571428571428
3585,WV,2020-05-23,0.0,0.0,0.0,1.8732519470461182,33.57142857142857,1.1428571428571428
7849,WV,2020-05-24,54.0,0.0,3.01314568503588,2.128333063239631,38.142857142857146,0.7142857142857143
7901,WV,2020-05-25,15.0,0.0,0.836984912509962,2.1681894876448666,38.857142857142854,0.5714285714285714
29221,WV,2020-05-26,0.0,0.0,0.0,2.1681894876448666,38.857142857142854,0.5714285714285714
