,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10607,WY,2020-04-13,5.0,1.0,1.0055506441613673,,,
6395,WY,2020-04-14,7.0,0.0,1.407770895838631,,,
6343,WY,2020-04-15,5.0,0.0,1.0055506390338564,,,
16899,WY,2020-04-16,9.0,1.0,1.8099911511543851,,,
16951,WY,2020-04-17,9.0,0.0,1.809991151154371,,,
8267,WY,2020-04-18,4.0,0.0,0.8044405116241649,,,
8319,WY,2020-04-19,4.0,0.0,0.8044405116241649,1.2353907863701343,6.142857142857143,0.2857142857142857
4575,WY,2020-04-20,4.0,0.0,0.8044405116241649,1.2066607674362484,6.0,0.14285714285714285
4523,WY,2020-04-21,126.0,0.0,25.339876116161214,4.6255329417680455,23.0,0.14285714285714285
19291,WY,2020-04-22,4.0,4.0,0.8044405116241649,4.596802923566662,22.857142857142858,0.7142857142857143
19343,WY,2020-04-23,6.0,1.0,1.206660767436233,4.510612868749782,22.428571428571427,0.7142857142857143
30627,WY,2020-04-24,20.0,0.0,4.0222025581208385,4.826643069744992,24.0,0.7142857142857143
30575,WY,2020-04-25,18.0,0.0,3.619982302308742,5.228863325557074,26.0,0.7142857142857143
9411,WY,2020-04-26,11.0,0.0,2.2122114069664605,5.429973453463117,27.0,0.7142857142857143
9463,WY,2020-04-27,18.0,0.0,3.619982302308742,5.8321937092752,29.0,0.7142857142857143
17783,WY,2020-04-28,16.0,0.0,3.2177620464966594,2.67189169932312,13.285714285714286,0.7142857142857143
17835,WY,2020-04-29,9.0,0.0,1.809991151154378,2.815541790684579,14.0,0.14285714285714285
13571,WY,2020-04-30,14.0,0.0,2.815541790684577,3.045381936862914,15.142857142857142,0.0
2807,WY,2020-05-01,7.0,0.0,1.4077708953422814,2.67189169932312,13.285714285714286,0.0
21319,WY,2020-05-02,13.0,0.0,2.614431662778543,2.528241607961663,12.571428571428571,0.0
21267,WY,2020-05-03,7.0,0.0,1.4077708953422956,2.413321534872497,12.0,0.0
24387,WY,2020-05-04,10.0,0.0,2.011101279060398,2.1834813886941618,10.857142857142858,0.0
24439,WY,2020-05-05,8.0,0.0,1.608881023248344,1.953641242515831,9.714285714285714,0.0
15079,WY,2020-05-06,27.0,0.0,5.429973453463106,2.4707815714170778,12.285714285714286,0.0
15027,WY,2020-05-07,4.0,0.0,0.8044405116241791,2.183481388694164,10.857142857142858,0.0
22879,WY,2020-05-08,9.0,0.0,1.8099911511543638,2.240941425238747,11.142857142857142,0.0
22827,WY,2020-05-09,9.0,0.0,1.809991151154378,2.1260213521495808,10.571428571428571,0.0
11907,WY,2020-05-10,9.0,0.0,1.809991151154378,2.183481388694164,10.857142857142858,0.0
11959,WY,2020-05-11,7.0,0.0,1.4077708953422814,2.09729133387729,10.428571428571429,0.0
29015,WY,2020-05-12,6.0,0.0,1.206660767436233,2.039831297332703,10.142857142857142,0.0
28963,WY,2020-05-13,13.0,0.0,2.614431662778543,1.6376110415206224,8.142857142857142,0.0
17679,WY,2020-05-14,13.0,0.0,-17.242541374802883,-0.940529227968958,9.428571428571429,0.0
17731,WY,2020-05-15,15.0,0.0,2.5917523528791975,-0.8288490562939818,10.285714285714286,0.0
7227,WY,2020-05-16,25.0,0.0,4.319587254798591,-0.47033532720195126,12.571428571428571,0.0
7175,WY,2020-05-17,13.0,1.0,2.2461853724953187,-0.4080218670103883,13.142857142857142,0.14285714285714285
30107,WY,2020-05-18,12.0,2.0,2.0734018823033296,-0.31293172601595287,13.857142857142858,0.42857142857142855
30055,WY,2020-05-19,10.0,0.0,1.727834901919465,-0.238478278232634,14.428571428571429,0.42857142857142855
18511,WY,2020-05-20,11.0,1.0,1.9006183921113973,-0.3404516026136548,14.142857142857142,0.5714285714285714
18563,WY,2020-05-21,14.0,1.0,2.4189688626872226,2.468335574170646,14.285714285714286,0.7142857142857143
3639,WY,2020-05-22,2.0,0.0,0.345566980383893,2.1474519495284596,12.428571428571429,0.7142857142857143
3587,WY,2020-05-23,10.0,0.0,1.727834901919465,1.77720161340287,10.285714285714286,0.7142857142857143
7851,WY,2020-05-24,25.0,0.0,4.31958725479862,2.0734018823033415,12.0,0.5714285714285714
7903,WY,2020-05-25,5.0,0.0,0.8639174509597183,1.9006183921113973,11.0,0.2857142857142857
29223,WY,2020-05-26,7.0,1.0,1.2094844313436397,1.8265683248862794,10.571428571428571,0.42857142857142855
29171,WY,2020-05-27,10.0,1.0,1.7278349019194366,1.8018849691445706,10.428571428571429,0.42857142857142855
6187,WY,2020-05-28,16.0,1.0,2.7645358430711156,1.851251680627984,10.714285714285714,0.42857142857142855
6135,WY,2020-05-29,15.0,0.0,2.5917523528791833,2.172135305270168,12.571428571428571,0.42857142857142855
25843,WY,2020-05-30,7.0,1.0,1.2094844313436113,2.0980852380450465,12.142857142857142,0.5714285714285714
25895,WY,2020-05-31,5.0,0.0,0.8639174509597467,1.6044181232109216,9.285714285714286,0.5714285714285714
13155,WY,2020-06-01,7.0,1.0,1.2094844313436113,1.653784834694335,9.571428571428571,0.7142857142857143
25791,WY,2020-06-02,2.0,0.0,0.345566980383893,1.5303680559857997,8.857142857142858,0.5714285714285714
25739,WY,2020-06-03,3.0,0.0,0.5183504705758253,1.3575845657938552,7.857142857142857,0.42857142857142855
22099,WY,2020-06-04,6.0,0.0,1.036700941151679,1.1107510083767929,6.428571428571429,0.2857142857142857
22151,WY,2020-06-05,12.0,0.0,2.0734018823033296,1.0367009411516708,6.0,0.2857142857142857
519,WY,2020-06-06,6.0,0.0,1.036700941151679,1.0120175854099662,5.857142857142857,0.14285714285714285
467,WY,2020-06-07,8.0,0.0,1.382267921535572,1.086067652635084,6.285714285714286,0.14285714285714285
23711,WY,2020-06-08,13.0,0.0,2.246185372495262,1.23416778708532,7.142857142857143,0.0
23555,WY,2020-06-09,10.0,0.0,1.727834901919465,1.431634633018973,8.285714285714286,0.0
3847,WY,2020-06-10,10.0,1.0,1.727834901919465,1.6044181232109216,9.285714285714286,0.14285714285714285
3899,WY,2020-06-11,29.0,0.0,5.010721215566377,2.172135305270164,12.571428571428571,0.14285714285714285
18251,WY,2020-06-12,18.0,0.0,3.110102823455037,2.3202354397204084,13.428571428571429,0.14285714285714285
18199,WY,2020-06-13,23.0,0.0,3.974020274414727,2.739852487329415,15.857142857142858,0.14285714285714285
29067,WY,2020-06-14,10.0,0.0,1.727834901919465,2.789219198812828,16.142857142857142,0.14285714285714285
29119,WY,2020-06-15,19.0,0.0,3.282886313646941,2.9373193332630683,17.0,0.14285714285714285
8007,WY,2020-06-16,10.0,0.0,1.727834901919465,2.9373193332630683,17.0,0.14285714285714285
7955,WY,2020-06-17,25.0,0.0,4.319587254798591,3.307569669388658,19.142857142857142,0.0
16483,WY,2020-06-18,30.0,0.0,5.183504705758395,3.3322530251303744,19.285714285714285,0.0
16431,WY,2020-06-19,29.0,2.0,5.010721215566406,3.6037699382891413,20.857142857142858,0.2857142857142857
28755,WY,2020-06-20,6.0,0.0,1.036700941151679,3.1841528906801346,18.428571428571427,0.2857142857142857
28807,WY,2020-06-21,18.0,0.0,3.110102823455037,3.381619736613788,19.571428571428573,0.2857142857142857
12219,WY,2020-06-22,33.0,0.0,5.701855176334163,3.7271867169976765,21.571428571428573,0.2857142857142857
12167,WY,2020-06-23,24.0,0.0,4.146803764606716,4.07275369738157,23.571428571428573,0.2857142857142857
7383,WY,2020-06-24,28.0,0.0,4.837937725374445,4.146803764606692,24.0,0.2857142857142857
7435,WY,2020-06-25,44.0,0.0,7.602473568445561,4.4923707449905725,26.0,0.2857142857142857
17627,WY,2020-06-26,42.0,0.0,7.256906588061753,4.813254369632765,27.857142857142858,0.0
17575,WY,2020-06-27,24.0,0.0,4.146803764606631,5.257554772983473,30.428571428571427,0.0
9151,WY,2020-06-28,25.0,0.0,4.319587254798677,5.430338263175421,31.428571428571427,0.0
8995,WY,2020-06-29,33.0,0.0,5.701855176334135,5.4303382631754165,31.428571428571427,0.0
21059,WY,2020-06-30,37.0,0.0,6.392989137101978,5.751221887817597,33.285714285714285,0.0
26363,WY,2020-07-01,27.0,0.0,4.665154235182513,5.726538532075892,33.142857142857146,0.0
13727,WY,2020-07-02,36.0,0.0,6.220205646910074,5.5290716861422515,32.0,0.0
13779,WY,2020-07-03,32.0,0.0,5.529071686142231,5.282238128725177,30.571428571428573,0.0
