,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10577,MA,2020-04-13,1392.0,88.0,20.280393880878535,,,
6365,MA,2020-04-14,1297.0,0.0,18.89631531912147,,,
6313,MA,2020-04-15,1754.0,264.0,25.55446189200967,,,
16869,MA,2020-04-16,2263.0,0.0,32.97020938341194,,,
16921,MA,2020-04-17,2221.0,137.0,32.35830094589386,,,
8237,MA,2020-04-18,1970.0,159.0,28.701419569298082,,,
8289,MA,2020-04-19,1705.0,302.0,24.84056871352948,26.22880995773472,1800.2857142857142,135.71428571428572
4545,MA,2020-04-20,0.0,0.0,0.0,23.331610831894928,1601.4285714285713,123.14285714285714
4493,MA,2020-04-21,3122.0,255.0,45.48519385550685,27.130022051378553,1862.142857142857,159.57142857142858
19261,MA,2020-04-22,1745.0,221.0,25.423338654022928,27.11129016023759,1860.857142857143,153.42857142857142
19313,MA,2020-04-23,3079.0,178.0,44.85871616947645,28.80964827253252,1977.4285714285713,178.85714285714286
30597,MA,2020-04-24,4946.0,196.0,72.05950314200413,34.48124858626256,2366.714285714286,187.28571428571428
30545,MA,2020-04-25,2379.0,174.0,34.660242210842625,35.33250896362607,2425.1428571428573,189.42857142857142
9381,MA,2020-04-26,1590.0,169.0,23.165105134611167,35.09315702378059,2408.714285714286,170.42857142857142
9433,MA,2020-04-27,1524.0,104.0,22.20353473279704,38.26509055703731,2626.4285714285716,185.28571428571428
17753,MA,2020-04-28,1840.0,150.0,26.807417262694685,35.59683675806415,2443.285714285714,170.28571428571428
17805,MA,2020-04-29,1963.0,252.0,28.59943482971164,36.050564783162535,2474.4285714285716,174.71428571428572
13541,MA,2020-04-30,1940.0,157.0,28.264342113928024,33.67993991808419,2311.714285714286,171.71428571428572
2777,MA,2020-05-01,2106.0,154.0,30.682837366975377,27.76898766450865,1906.0,165.71428571428572
21289,MA,2020-05-02,1952.0,130.0,28.439173096076047,26.880263505256284,1845.0,159.42857142857142
21237,MA,2020-05-03,1824.0,158.0,26.574309286497396,27.36729266981146,1878.4285714285713,157.85714285714286
24357,MA,2020-05-04,1000.0,86.0,14.569248512334184,26.27668035260248,1803.5714285714287,155.28571428571428
24409,MA,2020-05-05,1184.0,122.0,17.24999023860323,24.911333634875128,1709.857142857143,151.28571428571428
15049,MA,2020-05-06,1754.0,208.0,25.554461890634116,24.476337500721197,1680.0,145.0
14997,MA,2020-05-07,1696.0,132.0,24.709445476918518,23.968495124005553,1645.142857142857,141.42857142857142
22849,MA,2020-05-08,1612.0,150.0,23.485628601882354,22.940322443277978,1574.5714285714287,140.85714285714286
22797,MA,2020-05-09,1410.0,138.0,20.542640402391044,21.81224634418012,1497.142857142857,142.0
11877,MA,2020-05-10,1050.0,139.0,15.297710937950797,20.201303722959178,1386.5714285714287,139.28571428571428
11929,MA,2020-05-11,669.0,129.0,9.746827254751452,19.512386400447358,1339.2857142857142,145.42857142857142
28985,MA,2020-05-12,870.0,33.0,12.675246205730446,18.858851538608388,1294.4285714285713,132.71428571428572
28933,MA,2020-05-13,1165.0,174.0,16.97317451686922,17.632953342356263,1210.2857142857142,127.85714285714286
17649,MA,2020-05-14,1685.0,167.0,19.558182986224892,16.8970587008286,1208.7142857142858,132.85714285714286
17701,MA,2020-05-15,1239.0,110.0,17.976053111619876,16.10997648793396,1155.4285714285713,127.14285714285714
7197,MA,2020-05-16,1512.0,113.0,21.936878373502395,16.30915334094987,1170.0,123.57142857142857
7145,MA,2020-05-17,1077.0,92.0,15.625673285887615,16.35600510494084,1173.857142857143,116.85714285714286
30077,MA,2020-05-18,1042.0,65.0,15.117875175389827,17.123297665032037,1227.142857142857,107.71428571428571
30025,MA,2020-05-19,873.0,76.0,12.66593572755778,17.121967596721657,1227.5714285714287,113.85714285714286
18481,MA,2020-05-20,1045.0,128.0,15.161400727718274,16.863142769700094,1210.4285714285713,107.28571428571429
18533,MA,2020-05-21,1114.0,82.0,16.16248843127096,16.378043547563816,1128.857142857143,95.14285714285714
3609,MA,2020-05-22,805.0,80.0,11.679356541447987,15.478515466110691,1066.857142857143,90.85714285714286
3557,MA,2020-05-23,773.0,76.0,11.215083983278646,13.946830553221584,961.2857142857143,85.57142857142857
7821,MA,2020-05-24,1013.0,68.0,14.697128169548932,13.814181250887486,952.1428571428571,82.14285714285714
7873,MA,2020-05-25,596.0,44.0,8.647076395904378,12.889781425246708,888.4285714285714,79.14285714285714
29193,MA,2020-05-26,422.0,57.0,6.122594360858329,11.955018372861073,824.0,76.42857142857143
29141,MA,2020-05-27,527.0,74.0,7.645988692351693,10.881388082094418,750.0,68.71428571428571
6157,MA,2020-05-28,675.0,93.0,9.793249273885067,9.971496773896433,687.2857142857143,70.28571428571429
6105,MA,2020-05-29,617.0,78.0,8.951755262202823,9.581839448289982,660.4285714285714,70.0
25813,MA,2020-05-30,789.0,50.0,11.447220262363317,9.615001773873505,662.7142857142857,66.28571428571429
25865,MA,2020-05-31,664.0,78.0,9.633655582014399,8.891648547082857,612.8571428571429,67.71428571428571
13125,MA,2020-06-01,3840.0,189.0,55.712706980323446,15.615310059142725,1076.2857142857142,88.42857142857143
25761,MA,2020-06-02,358.0,50.0,5.194049244519647,15.482660756808627,1067.142857142857,87.42857142857143
25709,MA,2020-06-03,429.0,67.0,6.224153982958114,15.279541512609544,1053.142857142857,86.42857142857143
22069,MA,2020-06-04,471.0,49.0,6.8335117155552325,14.856721861419569,1024.0,80.14285714285714
22121,MA,2020-06-05,494.0,34.0,7.167207616739461,14.60178648349623,1006.4285714285714,73.85714285714286
489,MA,2020-06-06,575.0,54.0,8.342397529605705,14.158240378816572,975.8571428571429,74.42857142857143
437,MA,2020-06-07,304.0,27.0,4.4105893026087415,13.412088053187192,924.4285714285714,67.14285714285714
23681,MA,2020-06-08,190.0,37.0,2.7566183141307192,5.8469325294453744,403.0,45.42857142857143
23525,MA,2020-06-09,263.0,55.0,3.8157400874545147,5.6500312212932124,389.42857142857144,46.142857142857146
3817,MA,2020-06-10,267.0,46.0,3.8737741572256255,5.31426267476,366.2857142857143,43.142857142857146
3869,MA,2020-06-11,511.0,38.0,7.41385241326725,5.39716848871886,372.0,41.57142857142857
18221,MA,2020-06-12,392.0,46.0,5.687338837574316,5.185758663123839,357.42857142857144,43.285714285714285
18169,MA,2020-06-13,336.0,38.0,4.87486186077831,4.690396424719926,323.2857142857143,41.0
29037,MA,2020-06-14,208.0,48.0,3.0177716281009452,4.4914224712188116,309.57142857142856,44.0
29089,MA,2020-06-15,87.0,23.0,1.2622410175229106,4.277940000274839,294.85714285714283,42.0
7977,MA,2020-06-16,195.0,17.0,2.829160901344494,4.137000116544836,285.14285714285717,36.57142857142857
7925,MA,2020-06-17,266.0,69.0,3.8592656397829614,4.134927471195884,285.0,39.857142857142854
16453,MA,2020-06-18,271.0,36.0,3.9318082269967363,3.6374925874429533,250.71428571428572,39.57142857142857
16401,MA,2020-06-19,228.0,30.0,3.3079419769567266,3.297578750211869,227.28571428571428,37.285714285714285
28725,MA,2020-06-20,286.0,28.0,4.1494359886385155,3.193946482763327,220.14285714285714,35.857142857142854
28777,MA,2020-06-21,125.0,30.0,1.8135646803493728,3.0219169187988166,208.28571428571428,33.285714285714285
12189,MA,2020-06-22,149.0,16.0,2.1617690989758103,3.150420930434945,217.14285714285714,32.285714285714285
12137,MA,2020-06-23,229.0,16.0,3.322450494399618,3.220890872299963,222.0,32.142857142857146
7353,MA,2020-06-24,172.0,48.0,2.495465000160266,3.026062209496721,208.57142857142858,29.142857142857142
7405,MA,2020-06-25,226.0,25.0,3.2789249420711712,2.9327931687930686,202.14285714285714,27.571428571428573
17597,MA,2020-06-26,233.0,50.0,3.380484564170729,2.943156395537926,202.85714285714286,30.428571428571427
17545,MA,2020-06-27,373.0,28.0,5.4116770061616535,3.1234765408983742,215.28571428571428,30.428571428571427
9121,MA,2020-06-28,224.0,19.0,3.2499079071853885,3.3286684304463767,229.42857142857142,28.857142857142858
