,ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count,metadata
0,False,2020-11-17 19:19:26.601595,,72597 as https://www.kbbi.org,en,469869,kbbi.org,http://kbbi.org/,2183931222,2020-11-17 17:22:00,1772476390,[],Ohio Governor Orders 3-Week Statewide Curfew As Coronavirus Cases Rise,https://www.kbbi.org/post/ohio-governor-orders-3-week-statewide-curfew-coronavirus-cases-rise,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
1,False,2021-01-25 16:25:10.430521,,https://radiokenai.net/?p=148960,en,584753,radiokenai.us,http://radiokenai.us/,2243578608,2021-01-25 09:48:22,1833761421,[],SUNDAY: 3 COVID-19 Cases Reported Across Kenai Peninsula; 166 Statewide,https://radiokenai.net/sunday-3-covid-19-cases-reported-across-kenai-peninsula-166-statewide/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
2,False,2020-05-13 13:39:38.988200,,66009 as https://www.kbbi.org,en,469869,kbbi.org,http://kbbi.org/,2016404635,2020-05-13 10:00:00,1605609361,[],Can't Leave The House? Try Playing Competitive Video Games,https://www.kbbi.org/post/cant-leave-house-try-playing-competitive-video-games,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
3,False,2020-03-24 19:59:18.187502,,63809 as https://www.kbbi.org,en,469869,kbbi.org,http://kbbi.org/,1965381582,2020-03-24 19:20:00,1557991738,[],"NRA Plans Layoffs, 20% Cut In Pay For Employees Due To Coronavirus' Economic Hit",https://www.kbbi.org/post/nra-plans-layoffs-20-cut-pay-employees-due-coronavirus-economic-hit,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
4,False,2021-01-11 03:34:58.529862,,news:386676,en,658938,Alaska Post,https://www.dvidshub.net/publication/561/alaska-post,2229800497,2021-01-10 15:48:36,1820308966,[],177th Fighter Wing Medical Group Administers Wing's First Round of COVID-19 Vaccinations,http://www.dvidshub.net/news/386676/177th-fighter-wing-medical-group-administers-wings-first-round-covid-19-vaccinations,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
5,False,2020-04-07 19:27:11.804999,,44654 as https://www.kdll.org,en,658947,KDLL,http://kdll.org/,1979510374,2020-04-07 16:13:00,1571808485,[],Walmart Faces Lawsuit Over Worker's Death From Coronavirus Complications,https://www.kdll.org/post/walmart-faces-lawsuit-over-workers-death-coronavirus-complications,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
6,False,2020-11-13 18:05:42.318059,,52870 as https://www.kdll.org,en,658947,KDLL,http://kdll.org/,2180764808,2020-11-13 15:56:00,1769087792,[],Justice Alito: Pandemic Has Brought 'Unimaginable Restrictions' On Freedoms,https://www.kdll.org/post/justice-alito-pandemic-has-brought-unimaginable-restrictions-freedoms,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
7,False,2020-04-09 11:29:55.905059,,https://www.kyuk.org/post/aniak-preparing-two-possible-disasters-once-covid-19-and-flooding,en,658816,State News - United States - Alaska,http://www.alaska.statenews.net/,1981247664,2020-04-09 07:28:15,1573570814,[],Aniak Preparing For Two Possible Disasters At Once- COVID-19 And Flooding,https://www.kyuk.org/post/aniak-preparing-two-possible-disasters-once-covid-19-and-flooding,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
8,False,2020-06-24 07:05:30.320495,,45297 as https://www.kucb.org,en,179335,kucb.org,http://kucb.org/,2055403603,2020-06-24 05:01:00,1643455047,[],Democrats Vow To Block GOP Police Reform Bill Unless Republicans Agree To Negotiate,https://www.kucb.org/post/democrats-vow-block-gop-police-reform-bill-unless-republicans-agree-negotiate,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
9,False,2020-10-20 22:25:53.246283,,6227 as https://www.kyuk.org,en,195223,kyuk.org,http://kyuk.org/,2157157066,2020-10-20 22:15:22,1745003334,[],"YKHC Announces Fourth COVID-19 Death, 78 New Cases In A Single Day",https://www.kyuk.org/post/ykhc-announces-fourth-covid-19-death-78-new-cases-single-day,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
